,job_id,client_id,load_info_staleness,placement_info_staleness,workflow_type,job_create_time,scheduler_type,slowdown,response_time
0,0,0,1,1,6,80,hashtask,1.1062093282570955,66.92566435955428
1,1,0,1,1,6,170,hashtask,1.1688417602188317,70.71492649323932
2,2,0,1,1,6,243,hashtask,1.0213717002997889,61.79298786813723
3,3,0,1,1,6,329,hashtask,1.171834290050448,70.8959745480521
4,4,0,1,1,6,422,hashtask,1.0694113785822563,64.69938840422651
5,5,0,1,1,6,496,hashtask,1.115707594927041,67.50030949308598
6,6,0,1,1,6,574,hashtask,1.1243099282160844,68.02075065707311
7,7,0,1,1,6,655,hashtask,1.1233307815070854,67.96151228117867
8,8,0,1,1,6,741,hashtask,1.0781449640815288,65.2277703269325
9,9,0,1,1,6,819,hashtask,1.1706383201832042,70.82361837108385
10,10,0,1,1,6,901,hashtask,1.118775354605934,67.68590895365901
11,11,0,1,1,6,975,hashtask,1.192406290428149,72.14058057090301
12,12,0,1,1,6,1061,hashtask,1.0209230947888168,61.765847234723424
13,13,0,1,1,6,1147,hashtask,1.152231756729296,69.7100212821224
14,14,0,1,1,6,1225,hashtask,1.1899422729543516,71.99150751373827
15,15,0,1,1,6,1313,hashtask,1.245199169802693,75.33454977306292
16,16,0,1,1,6,1384,hashtask,1.0841751726713467,65.59259794661648
17,17,0,1,1,6,1460,hashtask,1.2368866891491894,74.83164469352596
18,18,0,1,1,6,1538,hashtask,1.0200844873243828,61.715111483125156
19,19,0,1,1,6,1622,hashtask,1.26546478149912,76.56061928069676
20,20,0,1,1,6,1708,hashtask,1.0564325574917475,63.91416972825073
21,21,0,1,1,6,1776,hashtask,1.0451991848282836,63.23455068211115
22,22,0,1,1,6,1838,hashtask,1.1308456549393195,68.41616212382883
23,23,0,1,1,6,1918,hashtask,1.1417090465728175,69.07339731765546
24,24,0,1,1,6,2011,hashtask,1.0068217636176275,60.91271669886646
25,25,0,1,1,6,2088,hashtask,1.0423619169085079,63.062895972964725
26,26,0,1,1,6,2160,hashtask,1.1963081725626272,72.37664444003894
27,27,0,1,1,6,2251,hashtask,1.1676977800541728,70.64571569327745
28,28,0,1,1,6,2340,hashtask,1.1168137300655872,67.56723066896802
29,29,0,1,1,6,2431,hashtask,0.9713042126001958,58.76390486231185
30,30,0,1,1,6,2510,hashtask,1.0438834880666668,63.15495102803334
31,31,0,1,1,6,2605,hashtask,1.0489591686143458,63.46202970116792
32,32,0,1,1,6,2684,hashtask,1.1930825763424049,72.1814958687155
33,33,0,1,1,6,2762,hashtask,1.1165863689576243,67.55347532193628
34,34,0,1,1,6,2852,hashtask,0.9824888501078562,59.4405754315253
35,35,0,1,1,6,2948,hashtask,1.0855016405889841,65.67284925563354
36,36,0,1,1,6,3019,hashtask,1.0441749368872344,63.17258368167768
37,37,0,1,1,6,3110,hashtask,1.1695796138359704,70.7595666370762
38,38,0,1,1,6,3201,hashtask,1.0934145134482576,66.15157806361958
39,39,0,1,1,6,3285,hashtask,1.1243195483992183,68.0213326781527
40,40,0,1,1,6,3363,hashtask,1.0671641126883282,64.56342881764385
41,41,0,1,1,6,3461,hashtask,1.1792204028775242,71.34283437409022
42,42,0,1,1,6,3542,hashtask,1.0249902382685743,62.01190941524874
43,43,0,1,1,6,3617,hashtask,1.1504090766362756,69.59974913649467
44,44,0,1,1,6,3694,hashtask,1.12363964309478,67.98019840723418
45,45,0,1,1,6,3794,hashtask,1.0735080434562014,64.94723662910019
46,46,0,1,1,6,3881,hashtask,1.0044157414421917,60.7671523572526
47,47,0,1,1,6,3973,hashtask,1.0922023824633613,66.07824413903336
48,48,0,1,1,6,4070,hashtask,1.1420737806982755,69.09546373224566
49,49,0,1,1,6,4148,hashtask,1.088233040971002,65.83809897874562
50,50,0,1,1,6,4223,hashtask,1.3804406611023536,83.5166599966924
51,51,0,1,1,6,4304,hashtask,1.0884853919274027,65.85336621160786
52,52,0,1,1,6,4375,hashtask,1.3229984989935504,80.0414091891098
53,53,0,1,1,6,4477,hashtask,1.2782347837565637,77.3332044172721
54,54,0,1,1,6,4561,hashtask,1.1650177137664046,70.48357168286748
55,55,0,1,1,6,4641,hashtask,1.134718858507647,68.65049093971265
56,56,0,1,1,6,4749,hashtask,1.0419747811221505,63.039474257890106
57,57,0,1,1,6,4832,hashtask,1.1185188721013046,67.67039176212893
