,client_id,workflow_id,job_id,task_id,worker_id,worker_arrival_time,exec_start_time,exec_end_time,deadline
0,1,7,1000,0,4477df26-a9e1-4942-86b6-f9bc38e48340,20.0,20.0,30.661544840920204,160
1,0,6,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd,29.0,29.0,35.96886288509591,153
2,1,7,1000,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,30.661544840920204,35.96886288509591,43.40133408788505,160
3,2,8,2000,0,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221,28.0,28.0,45.26213086288115,188
4,2,8,2000,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,45.26213086288115,45.26213086288115,52.738283135141266,188
5,1,7,1000,2,6aae7612-e4d6-48e8-b447-8aae7480fc76,30.661544840920204,30.661544840920204,60.45610313009951,160
6,0,6,0,1,f274c22f-f087-4578-be11-1a63c308cc36,29.0,29.0,60.51592220509838,153
7,1,7,1001,0,4477df26-a9e1-4942-86b6-f9bc38e48340,52.0,52.0,64.11414702242352,192
8,1,7,1000,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,60.45610313009951,60.45610313009951,70.38223570576426,160
9,0,6,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd,64.0,64.0,70.82376060467318,188
10,2,8,2000,2,0daca965-279b-432d-a55b-cbacf2a3ec8c,45.26213086288115,45.26213086288115,75.42588478705835,188
11,0,6,0,2,717d64da-bb85-4ad2-a257-b5034f1d57cd,60.51592220509838,70.38223570576426,77.52690648958027,153
12,1,7,1001,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,64.11414702242352,70.82376060467318,79.1120539940766,192
13,2,8,2001,0,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221,57.0,57.0,79.4936485342092,217
14,2,8,2000,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,75.42588478705835,77.52690648958027,84.61301188931377,188
15,2,8,2001,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,79.4936485342092,79.4936485342092,87.07377851601407,217
16,0,6,1,1,f274c22f-f087-4578-be11-1a63c308cc36,64.0,64.0,93.13213735320443,188
17,1,7,1000,4,ea05589a-a6d9-4b6d-824e-391a5eafbedf,70.38223570576426,70.38223570576426,94.26236663716958,160
18,1,7,1002,0,4477df26-a9e1-4942-86b6-f9bc38e48340,85.0,85.0,95.30880637886543,225
19,0,6,2,0,717d64da-bb85-4ad2-a257-b5034f1d57cd,89.0,89.0,96.17310250114419,213
20,0,6,0,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f,77.52690648958027,77.52690648958027,102.35613227212332,153
21,1,7,1002,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,95.30880637886543,96.17310250114419,104.01277113484437,225
22,0,6,0,4,aa421654-f71c-474c-b528-55d93c8d2a7e,102.35613227212332,102.35613227212332,104.73422721766919,153
23,1,7,1001,2,0daca965-279b-432d-a55b-cbacf2a3ec8c,64.11414702242352,75.42588478705835,104.93528164445013,192
24,0,6,1,2,717d64da-bb85-4ad2-a257-b5034f1d57cd,93.13213735320443,93.13213735320443,106.7846918577496,188
25,1,7,1001,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,104.93528164445013,106.7846918577496,108.28064444053487,192
26,2,8,2000,4,28ac5dc2-d1af-458d-a52c-1d742ccb90cb,84.61301188931377,84.61301188931377,108.28768234973785,188
27,2,8,2002,0,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221,90.0,90.0,112.91368893994877,250
28,2,8,2002,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,112.91368893994877,112.91368893994877,120.12242944613614,250
29,2,8,2001,2,f274c22f-f087-4578-be11-1a63c308cc36,79.4936485342092,93.13213735320443,121.50529146644561,217
30,1,7,1003,0,4477df26-a9e1-4942-86b6-f9bc38e48340,115.0,115.0,123.98126510236284,255
31,0,6,3,0,717d64da-bb85-4ad2-a257-b5034f1d57cd,122.0,122.0,129.36676556326668,246
