,worker_id,instance_id,model_id,batch_id,batched_job_task_ids,batch_size,execution_start_timestamp,execution_end_timestamp,preempted_timestamp
0,0917b1d6-f3fd-47c4-9ea0-8a24b4d7d439,c4adf1d3-ba68-4409-94c5-1c3a78f0e83e,16,6ca3255d-a6de-4fc2-bd6b-9a8e9f1a9f83,"[(2000, 0)]",1,16.0,36.38474516570379,
1,25209e3b-b379-4b4e-81fa-58fd84437867,d486c597-8aea-4036-82c3-5362f6b16b84,0,6df19307-d345-4275-93fc-7e295a921896,"[(0, 0)]",1,26.0,33.290369206498376,
2,c3a9780a-82ff-4325-a4d1-fdd8aed94297,20d13f8c-0b97-40cf-9738-799f23049c14,1,472eb053-2903-4166-8cf0-eb7648346573,"[(0, 1)]",1,26.0,57.01287733548875,
3,7a33f45e-5dac-4622-a225-4353d37bedc6,bc9e0554-5bd2-412c-a01b-368184534995,15,24dc3daf-122f-4d98-951b-f131744ee693,"[(1000, 0)]",1,28.0,38.684042808418,
4,25209e3b-b379-4b4e-81fa-58fd84437867,d486c597-8aea-4036-82c3-5362f6b16b84,0,36ba83ff-d023-42c5-99be-a4abade95d24,"[(2000, 1)]",1,36.38474516570379,43.43743624088664,
5,86d1239e-3b97-4371-9696-33472b257032,58327225-5f08-416d-a05c-47b44be787ce,1,2db9bf85-1d8c-4932-9510-19be804f985a,"[(2000, 2)]",1,36.38474516570379,69.39027895063731,
6,424d6aa0-9ca0-4b6b-ab31-c808103f1b60,aadcbdd4-c067-43f8-b0ff-565a8b9b3f90,1,544b1622-daf2-400d-89a5-12e55efa0832,"[(1000, 2)]",1,38.684042808418,70.41291718245347,
7,0917b1d6-f3fd-47c4-9ea0-8a24b4d7d439,c4adf1d3-ba68-4409-94c5-1c3a78f0e83e,16,28324c01-499a-4179-a87c-d23e2fa28395,"[(2001, 0)]",1,43.0,64.16542243375372,
8,25209e3b-b379-4b4e-81fa-58fd84437867,d486c597-8aea-4036-82c3-5362f6b16b84,0,8ad7aced-b753-41ff-8717-f13d43a47dbf,"[(1000, 1)]",1,43.43743624088664,50.318395170258,
9,7a33f45e-5dac-4622-a225-4353d37bedc6,bc9e0554-5bd2-412c-a01b-368184534995,15,c32df72f-6533-4435-bbf1-9cab78b584e6,"[(1001, 0)]",1,49.0,59.74854085093799,
10,25209e3b-b379-4b4e-81fa-58fd84437867,39279998-31f6-4301-a6f6-1681525e4775,2,e13241a6-0c7f-45d9-85d1-afff34146f44,"[(0, 2)]",1,57.01287733548875,59.86467433034459,
11,25209e3b-b379-4b4e-81fa-58fd84437867,d486c597-8aea-4036-82c3-5362f6b16b84,0,b363ebf5-80be-47ec-bcb2-7fb4561c07c6,"[(1, 0)]",1,58.0,64.82580952514637,
12,c3a9780a-82ff-4325-a4d1-fdd8aed94297,20d13f8c-0b97-40cf-9738-799f23049c14,1,d7916d46-5208-4994-9cea-f74040d09c68,"[(1, 1)]",1,58.0,89.14347032161479,
13,fa6a1015-1a33-47af-b514-235da13e6865,3044b0c1-28f4-4070-979b-46086ed3add4,3,7c613b62-4a8c-4f6f-bf86-17bfce1ad755,"[(0, 3)]",1,59.86467433034459,84.84320711172919,
14,25209e3b-b379-4b4e-81fa-58fd84437867,d486c597-8aea-4036-82c3-5362f6b16b84,0,dfbf9fbe-13e4-4103-babf-a67de5242fc3,"[(2001, 1), (1001, 1)]",2,64.82580952514637,73.9850655832149,
15,86d1239e-3b97-4371-9696-33472b257032,58327225-5f08-416d-a05c-47b44be787ce,1,86d6286c-181d-4eb2-bd75-610b1d6f7954,"[(2001, 2), (1001, 2)]",2,69.39027895063731,121.04920027519326,
16,25209e3b-b379-4b4e-81fa-58fd84437867,39279998-31f6-4301-a6f6-1681525e4775,2,cafc682c-fb27-4409-8532-1bebcd9b0643,"[(2000, 3)]",1,69.39027895063731,75.85878293501952,
17,0917b1d6-f3fd-47c4-9ea0-8a24b4d7d439,c4adf1d3-ba68-4409-94c5-1c3a78f0e83e,16,79ed6704-cca1-4a51-a922-b34c4c73401b,"[(2002, 0)]",1,70.0,88.61354096437597,
18,7a33f45e-5dac-4622-a225-4353d37bedc6,bc9e0554-5bd2-412c-a01b-368184534995,15,d8d2bd18-2265-4de3-b7c7-c1d021d8745e,"[(1002, 0)]",1,70.0,82.71358661400669,
19,25209e3b-b379-4b4e-81fa-58fd84437867,39279998-31f6-4301-a6f6-1681525e4775,2,1c8bbc63-0737-4249-8042-bd421e108566,"[(1000, 3)]",1,75.85878293501952,83.77024702576124,
20,de39bb1e-ab95-4614-9b11-70d84cb3178c,3c39f7f9-d926-4ba1-a5c5-1ada7fe58096,3,27c8e417-2176-4be5-a30c-fa13f32785cd,"[(2000, 4)]",1,75.85878293501952,101.92003105422104,
21,25209e3b-b379-4b4e-81fa-58fd84437867,d486c597-8aea-4036-82c3-5362f6b16b84,0,d701a3c7-131f-49c6-8ceb-36baf381bb65,"[(2, 0)]",1,79.0,86.2353172595721,
22,424d6aa0-9ca0-4b6b-ab31-c808103f1b60,aadcbdd4-c067-43f8-b0ff-565a8b9b3f90,1,50ce6829-c0a0-4ecc-b03e-64e4ee5ddc4a,"[(2, 1)]",1,79.0,108.03316633719375,
23,fd1f1761-4a1f-44e8-933c-3e161685ec79,7d1f997b-42ae-4e07-aa55-aa1296c15ac4,3,21fa5cdd-0f4f-4fa7-aaba-38a7701d0aaf,"[(1000, 4)]",1,83.77024702576124,112.02198524739941,
24,419e4660-f8d2-4efe-9386-e7d9c932a914,948394ba-4328-4839-b1a3-25fb6575a905,14,d1c6ae91-9460-4068-9573-7818aac5960a,"[(0, 4)]",1,84.84320711172919,87.21471273225085,
25,25209e3b-b379-4b4e-81fa-58fd84437867,d486c597-8aea-4036-82c3-5362f6b16b84,0,cbcf4d76-e862-46f9-a494-63f7973db983,"[(1002, 1)]",1,86.2353172595721,93.58158182384665,
26,c3a9780a-82ff-4325-a4d1-fdd8aed94297,20d13f8c-0b97-40cf-9738-799f23049c14,1,8018f8b2-93fb-406f-b1c2-696ff07e55cf,"[(1002, 2), (2002, 2)]",2,89.14347032161479,145.50765782607414,
27,25209e3b-b379-4b4e-81fa-58fd84437867,39279998-31f6-4301-a6f6-1681525e4775,2,5883efb3-10e8-45e5-900a-1aec5526cb84,"[(1, 2)]",1,89.14347032161479,90.52773217691158,
28,fa6a1015-1a33-47af-b514-235da13e6865,3044b0c1-28f4-4070-979b-46086ed3add4,3,338d9a22-b111-49d9-8164-7d2893b5ca78,"[(1, 3)]",1,90.52773217691158,117.16405790902627,
29,25209e3b-b379-4b4e-81fa-58fd84437867,d486c597-8aea-4036-82c3-5362f6b16b84,0,6a0f86ae-b362-4e78-9909-38bc7f2e8f2f,"[(2002, 1)]",1,93.58158182384665,101.04882076779623,
30,7a33f45e-5dac-4622-a225-4353d37bedc6,bc9e0554-5bd2-412c-a01b-368184534995,15,8daaff46-75d7-450b-9e0f-972dae12ac80,"[(1003, 0)]",1,94.0,103.89622911135045,
31,25209e3b-b379-4b4e-81fa-58fd84437867,d486c597-8aea-4036-82c3-5362f6b16b84,0,b3d770e3-1977-4b53-aaf9-1f81cbd2f878,"[(1003, 1)]",1,103.89622911135045,110.66771159273816,
32,424d6aa0-9ca0-4b6b-ab31-c808103f1b60,aadcbdd4-c067-43f8-b0ff-565a8b9b3f90,1,3a93257f-f7aa-4e7a-8284-141747401680,"[(1003, 2), (3, 1)]",2,108.03316633719375,160.6745139508545,
33,25209e3b-b379-4b4e-81fa-58fd84437867,39279998-31f6-4301-a6f6-1681525e4775,2,8398af1d-fa11-4f2d-96d4-89c21e40b862,"[(2, 2)]",1,108.03316633719375,121.14714393198228,
34,25209e3b-b379-4b4e-81fa-58fd84437867,d486c597-8aea-4036-82c3-5362f6b16b84,0,8f503f0f-1cf3-4434-a5ca-ea49904dc195,"[(3, 0)]",1,110.66771159273816,118.30228133339602,
35,0917b1d6-f3fd-47c4-9ea0-8a24b4d7d439,c4adf1d3-ba68-4409-94c5-1c3a78f0e83e,16,af02ace9-3e57-4b45-be31-f7780eb442b9,"[(2003, 0)]",1,111.0,130.13477689757786,
36,419e4660-f8d2-4efe-9386-e7d9c932a914,948394ba-4328-4839-b1a3-25fb6575a905,14,59761390-c6dd-45fd-ba52-38fb87b4188a,"[(1, 4)]",1,117.16405790902627,119.3465567749534,
37,25209e3b-b379-4b4e-81fa-58fd84437867,39279998-31f6-4301-a6f6-1681525e4775,2,d43dfadd-7b46-4d58-ba64-ddeef50e7e48,"[(2001, 3), (1001, 3)]",2,121.14714393198228,138.1337782325433,
38,fa6a1015-1a33-47af-b514-235da13e6865,3044b0c1-28f4-4070-979b-46086ed3add4,3,8c6f9f66-33b2-4547-8f02-e393d5235398,"[(2, 3)]",1,121.14714393198228,146.7573368356145,
39,25209e3b-b379-4b4e-81fa-58fd84437867,d486c597-8aea-4036-82c3-5362f6b16b84,0,13d7a56b-eb93-45c1-b4d5-2f2ff9c60857,"[(2003, 1)]",1,130.13477689757786,137.4599522212171,
40,86d1239e-3b97-4371-9696-33472b257032,58327225-5f08-416d-a05c-47b44be787ce,1,f6a1ddd6-245b-4403-bbe6-d3fd74e56a09,"[(2003, 2)]",1,130.13477689757786,160.64035237367773,
41,7a33f45e-5dac-4622-a225-4353d37bedc6,bc9e0554-5bd2-412c-a01b-368184534995,15,2a4d66c6-0068-40a1-a192-12b50aa3962e,"[(1004, 0)]",1,133.0,142.70137745185895,
42,de39bb1e-ab95-4614-9b11-70d84cb3178c,3c39f7f9-d926-4ba1-a5c5-1ada7fe58096,3,23f66455-1e71-4522-8f6d-170570f36cb0,"[(2001, 4), (1001, 4)]",2,138.1337782325433,189.35014293478432,
43,0917b1d6-f3fd-47c4-9ea0-8a24b4d7d439,c4adf1d3-ba68-4409-94c5-1c3a78f0e83e,16,fd50a044-9888-4542-9932-3c9b9b38ae32,"[(2004, 0)]",1,139.0,163.26578185885808,
44,25209e3b-b379-4b4e-81fa-58fd84437867,d486c597-8aea-4036-82c3-5362f6b16b84,0,a675c386-abfd-4f8c-b042-646c6f8b7a61,"[(4, 0)]",1,142.0,149.03117045044326,
45,c3a9780a-82ff-4325-a4d1-fdd8aed94297,20d13f8c-0b97-40cf-9738-799f23049c14,1,046479d8-ed52-4419-b517-031719ee5935,"[(1004, 2), (4, 1)]",2,145.50765782607414,201.4937349316419,
46,25209e3b-b379-4b4e-81fa-58fd84437867,39279998-31f6-4301-a6f6-1681525e4775,2,550664c0-d5f4-48fe-997e-9ecc133a03ad,"[(1002, 3), (2002, 3)]",2,145.50765782607414,157.02171794251413,
47,419e4660-f8d2-4efe-9386-e7d9c932a914,948394ba-4328-4839-b1a3-25fb6575a905,14,056c9578-15f8-4a48-a479-c3238f60f7ef,"[(2, 4)]",1,146.7573368356145,149.21490547939644,
48,25209e3b-b379-4b4e-81fa-58fd84437867,d486c597-8aea-4036-82c3-5362f6b16b84,0,bcd43e24-f0bc-4c59-b313-5b23a1f22ec4,"[(1004, 1)]",1,149.03117045044326,156.17749834134224,
49,fa6a1015-1a33-47af-b514-235da13e6865,3044b0c1-28f4-4070-979b-46086ed3add4,3,96315d65-a0a0-4365-9419-846f6c3ce073,"[(1002, 4), (2002, 4)]",2,157.02171794251413,209.67866293916262,
50,7a33f45e-5dac-4622-a225-4353d37bedc6,bc9e0554-5bd2-412c-a01b-368184534995,15,eb304652-1069-461e-aafc-e106830b0282,"[(1005, 0)]",1,160.0,170.4474078624965,
51,25209e3b-b379-4b4e-81fa-58fd84437867,39279998-31f6-4301-a6f6-1681525e4775,2,ad5b7191-680e-4a6b-b0cd-2efc51c118d2,"[(2003, 3)]",1,160.64035237367773,168.3499421975298,
52,25209e3b-b379-4b4e-81fa-58fd84437867,d486c597-8aea-4036-82c3-5362f6b16b84,0,b75d1966-84e8-4905-8e92-44275fe7ecf9,"[(2004, 1)]",1,163.26578185885808,170.47632474383997,
53,86d1239e-3b97-4371-9696-33472b257032,58327225-5f08-416d-a05c-47b44be787ce,1,fab9a4bb-5582-42a3-b06a-2b132d75b673,"[(2004, 2)]",1,163.26578185885808,192.9158977639142,
54,424d6aa0-9ca0-4b6b-ab31-c808103f1b60,aadcbdd4-c067-43f8-b0ff-565a8b9b3f90,1,dd81e231-09de-48f1-bfb8-0532152e940d,"[(5, 1)]",1,164.0,192.95024330301322,
55,25209e3b-b379-4b4e-81fa-58fd84437867,39279998-31f6-4301-a6f6-1681525e4775,2,da1612a6-5546-459e-a7bc-2628b372fd18,"[(1003, 3), (3, 2)]",2,168.3499421975298,185.89879341416767,
56,fd1f1761-4a1f-44e8-933c-3e161685ec79,7d1f997b-42ae-4e07-aa55-aa1296c15ac4,3,afbf4591-d5f4-4328-882d-147484fadc51,"[(2003, 4)]",1,168.3499421975298,192.43104435830185,
