,time,client_id,workflow_id,job_id,task_id,model_id,worker_id
0,20.0,1,7,1000,0,15,N/A
1,20.0,1,7,1000,0,15,4477df26-a9e1-4942-86b6-f9bc38e48340
2,28.0,2,8,2000,0,16,N/A
3,28.0,2,8,2000,0,16,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221
4,29.0,0,6,0,0,0,N/A
5,29.0,0,6,0,1,1,N/A
6,29.0,0,6,0,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
7,29.0,0,6,0,1,1,f274c22f-f087-4578-be11-1a63c308cc36
8,30.661544840920204,1,7,1000,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
9,30.661544840920204,1,7,1000,2,1,6aae7612-e4d6-48e8-b447-8aae7480fc76
10,45.26213086288115,2,8,2000,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
11,45.26213086288115,2,8,2000,2,1,0daca965-279b-432d-a55b-cbacf2a3ec8c
12,52.0,1,7,1001,0,15,N/A
13,52.0,1,7,1001,0,15,4477df26-a9e1-4942-86b6-f9bc38e48340
14,57.0,2,8,2001,0,16,N/A
15,57.0,2,8,2001,0,16,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221
16,60.45610313009951,1,7,1000,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
17,60.51592220509838,0,6,0,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
18,64.0,0,6,1,0,0,N/A
19,64.0,0,6,1,1,1,N/A
20,64.0,0,6,1,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
21,64.0,0,6,1,1,1,f274c22f-f087-4578-be11-1a63c308cc36
22,64.11414702242352,1,7,1001,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
23,64.11414702242352,1,7,1001,2,1,0daca965-279b-432d-a55b-cbacf2a3ec8c
24,70.38223570576426,1,7,1000,4,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf
25,75.42588478705835,2,8,2000,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
26,77.52690648958027,0,6,0,3,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f
27,79.4936485342092,2,8,2001,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
28,79.4936485342092,2,8,2001,2,1,f274c22f-f087-4578-be11-1a63c308cc36
29,84.61301188931377,2,8,2000,4,3,28ac5dc2-d1af-458d-a52c-1d742ccb90cb
30,85.0,1,7,1002,0,15,N/A
31,85.0,1,7,1002,0,15,4477df26-a9e1-4942-86b6-f9bc38e48340
32,89.0,0,6,2,0,0,N/A
33,89.0,0,6,2,1,1,N/A
34,89.0,0,6,2,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
35,89.0,0,6,2,1,1,0daca965-279b-432d-a55b-cbacf2a3ec8c
36,90.0,2,8,2002,0,16,N/A
37,90.0,2,8,2002,0,16,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221
38,93.13213735320443,0,6,1,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
39,95.30880637886543,1,7,1002,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
40,95.30880637886543,1,7,1002,2,1,f274c22f-f087-4578-be11-1a63c308cc36
41,102.35613227212332,0,6,0,4,14,aa421654-f71c-474c-b528-55d93c8d2a7e
