,time,event
0,18.0,"[18] [Event ID: 0] Job Sent to Scheduler {'job': [Job 1000, Workflow 7], 'from_client_id': UUID('285c4870-8b9d-4b59-ab6a-2610007d7c2b'), 'ignore_transfer_time': False}"
1,18.88,"[18.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 1000, Workflow 7]}"
2,18.88,"[18.88] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 1000, Task ID 0]], 'worker_id': UUID('4fed2531-e0e1-4fb7-9df7-908cb6cba4c9'), 'force_instance_id': UUID('a65359f3-decb-49ce-a1af-dcfbd2879d31')}"
3,18.88,"[18.88] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 1000, Task ID 1]], 'worker_id': UUID('979f36bb-bef7-4765-83ed-3ba6a58b0401'), 'force_instance_id': UUID('0328f6e6-381f-4b09-906a-64411ee5c481')}"
4,18.88,"[18.88] [Event ID: 3] Tasks Inputs Sent to Worker {'tasks': [[Job ID 1000, Task ID 0]], 'from_worker_id': UUID('ae4344b4-6ed5-4c49-a83b-9c87aa73c472'), 'to_worker_id': UUID('4fed2531-e0e1-4fb7-9df7-908cb6cba4c9'), 'force_instance_id': UUID('a65359f3-decb-49ce-a1af-dcfbd2879d31'), 'ignore_transfer_time': False}"
5,18.88,"[18.88] [Event ID: 3] Tasks Inputs Sent to Worker {'tasks': [[Job ID 1000, Task ID 1]], 'from_worker_id': UUID('ae4344b4-6ed5-4c49-a83b-9c87aa73c472'), 'to_worker_id': UUID('979f36bb-bef7-4765-83ed-3ba6a58b0401'), 'force_instance_id': UUID('0328f6e6-381f-4b09-906a-64411ee5c481'), 'ignore_transfer_time': False}"
6,18.959999999999997,"[18.959999999999997] [Event ID: 4] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 1000, Task ID 0]], 'from_worker_id': UUID('ae4344b4-6ed5-4c49-a83b-9c87aa73c472'), 'to_worker_id': UUID('4fed2531-e0e1-4fb7-9df7-908cb6cba4c9'), 'force_instance_id': UUID('a65359f3-decb-49ce-a1af-dcfbd2879d31')}"
7,18.959999999999997,"[18.959999999999997] [Event ID: 13] Batch Started at Worker {'batch': [Batch 0e9e4d59-d0e3-4898-978c-a720bd263abe | Model ID 0] <Jobs [1000]>, 'model_instance_id': UUID('a65359f3-decb-49ce-a1af-dcfbd2879d31'), 'worker_id': UUID('4fed2531-e0e1-4fb7-9df7-908cb6cba4c9')}"
8,19.68,"[19.68] [Event ID: 4] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 1000, Task ID 1]], 'from_worker_id': UUID('ae4344b4-6ed5-4c49-a83b-9c87aa73c472'), 'to_worker_id': UUID('979f36bb-bef7-4765-83ed-3ba6a58b0401'), 'force_instance_id': UUID('0328f6e6-381f-4b09-906a-64411ee5c481')}"
9,19.68,"[19.68] [Event ID: 13] Batch Started at Worker {'batch': [Batch 171c3d7f-4aad-4983-8178-eec03dcef7a4 | Model ID 1] <Jobs [1000]>, 'model_instance_id': UUID('0328f6e6-381f-4b09-906a-64411ee5c481'), 'worker_id': UUID('979f36bb-bef7-4765-83ed-3ba6a58b0401')}"
10,23.0,"[23] [Event ID: 0] Job Sent to Scheduler {'job': [Job 0, Workflow 6], 'from_client_id': UUID('41ac49e4-583d-4b4b-9af9-293fef5f61ff'), 'ignore_transfer_time': False}"
11,23.88,"[23.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 0, Workflow 6]}"
12,23.88,"[23.88] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 0, Task ID 1]], 'worker_id': UUID('ae4344b4-6ed5-4c49-a83b-9c87aa73c472'), 'force_instance_id': UUID('0d33c105-c393-42e2-a377-2b85614a46f3')}"
13,23.88,"[23.88] [Event ID: 3] Tasks Inputs Sent to Worker {'tasks': [[Job ID 0, Task ID 1]], 'from_worker_id': UUID('ae4344b4-6ed5-4c49-a83b-9c87aa73c472'), 'to_worker_id': UUID('ae4344b4-6ed5-4c49-a83b-9c87aa73c472'), 'force_instance_id': UUID('0d33c105-c393-42e2-a377-2b85614a46f3'), 'ignore_transfer_time': False}"
14,23.88,"[23.88] [Event ID: 4] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 0, Task ID 1]], 'from_worker_id': UUID('ae4344b4-6ed5-4c49-a83b-9c87aa73c472'), 'to_worker_id': UUID('ae4344b4-6ed5-4c49-a83b-9c87aa73c472'), 'force_instance_id': UUID('0d33c105-c393-42e2-a377-2b85614a46f3')}"
15,23.88,"[23.88] [Event ID: 13] Batch Started at Worker {'batch': [Batch 5bb35908-d2b7-4788-b667-94d0c7c410ab | Model ID 1] <Jobs [0]>, 'model_instance_id': UUID('0d33c105-c393-42e2-a377-2b85614a46f3'), 'worker_id': UUID('ae4344b4-6ed5-4c49-a83b-9c87aa73c472')}"
16,26.483755871547867,"[26.483755871547867] [Event ID: 11] Batch Finished at Worker {'batch': [Batch 0e9e4d59-d0e3-4898-978c-a720bd263abe | Model ID 0] <Jobs [1000]>, 'model_instance_id': UUID('a65359f3-decb-49ce-a1af-dcfbd2879d31'), 'worker_id': UUID('4fed2531-e0e1-4fb7-9df7-908cb6cba4c9')}"
17,26.483755871547867,"[26.483755871547867] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 0, Task ID 0]], 'worker_id': UUID('4fed2531-e0e1-4fb7-9df7-908cb6cba4c9'), 'force_instance_id': UUID('a65359f3-decb-49ce-a1af-dcfbd2879d31')}"
18,26.483755871547867,"[26.483755871547867] [Event ID: 3] Tasks Inputs Sent to Worker {'tasks': [[Job ID 0, Task ID 0]], 'from_worker_id': UUID('ae4344b4-6ed5-4c49-a83b-9c87aa73c472'), 'to_worker_id': UUID('4fed2531-e0e1-4fb7-9df7-908cb6cba4c9'), 'force_instance_id': UUID('a65359f3-decb-49ce-a1af-dcfbd2879d31'), 'ignore_transfer_time': False}"
19,26.483755871547867,"[26.483755871547867] [Event ID: 12] Check Queue for Execution at Worker {'model_id': 0, 'worker_id': UUID('4fed2531-e0e1-4fb7-9df7-908cb6cba4c9')}"
20,26.563755871547865,"[26.563755871547865] [Event ID: 4] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 0, Task ID 0]], 'from_worker_id': UUID('ae4344b4-6ed5-4c49-a83b-9c87aa73c472'), 'to_worker_id': UUID('4fed2531-e0e1-4fb7-9df7-908cb6cba4c9'), 'force_instance_id': UUID('a65359f3-decb-49ce-a1af-dcfbd2879d31')}"
21,26.563755871547865,"[26.563755871547865] [Event ID: 13] Batch Started at Worker {'batch': [Batch e4740a3e-f4a6-4f8a-9331-3daf1331a4ff | Model ID 0] <Jobs [0]>, 'model_instance_id': UUID('a65359f3-decb-49ce-a1af-dcfbd2879d31'), 'worker_id': UUID('4fed2531-e0e1-4fb7-9df7-908cb6cba4c9')}"
22,29.0,"[29] [Event ID: 0] Job Sent to Scheduler {'job': [Job 2000, Workflow 8], 'from_client_id': UUID('b9398953-5790-4b3e-91c3-e442cc5bbcac'), 'ignore_transfer_time': False}"
23,29.88,"[29.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 2000, Workflow 8]}"
24,29.88,"[29.88] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 2000, Task ID 1]], 'worker_id': UUID('ad514814-77d5-4509-a035-2a7423aed307'), 'force_instance_id': UUID('10af65fb-5880-4583-b2f8-75f58ff26d18')}"
25,29.88,"[29.88] [Event ID: 3] Tasks Inputs Sent to Worker {'tasks': [[Job ID 2000, Task ID 1]], 'from_worker_id': UUID('ae4344b4-6ed5-4c49-a83b-9c87aa73c472'), 'to_worker_id': UUID('ad514814-77d5-4509-a035-2a7423aed307'), 'force_instance_id': UUID('10af65fb-5880-4583-b2f8-75f58ff26d18'), 'ignore_transfer_time': False}"
26,30.68,"[30.68] [Event ID: 4] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 2000, Task ID 1]], 'from_worker_id': UUID('ae4344b4-6ed5-4c49-a83b-9c87aa73c472'), 'to_worker_id': UUID('ad514814-77d5-4509-a035-2a7423aed307'), 'force_instance_id': UUID('10af65fb-5880-4583-b2f8-75f58ff26d18')}"
