,time,event
0,18.0,"[18] [Event ID: 0] Job Sent to Scheduler {'job': [Job 1000, Workflow 7], 'from_client_id': UUID('a35462cc-fb2f-44ba-b577-ad1639ce5ae7'), 'ignore_transfer_time': False}"
1,18.88,"[18.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 1000, Workflow 7]}"
2,18.88,"[18.88] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 1000, Task ID 0]], 'worker_id': UUID('47d9fcd1-8c4f-4531-a1cf-a13f0b24ac35'), 'force_instance_id': UUID('c0178327-2c36-4a77-a28d-58d61a83c65e')}"
3,18.88,"[18.88] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 1000, Task ID 1]], 'worker_id': UUID('6262938f-be85-4da5-9816-0ddf1afe713e'), 'force_instance_id': UUID('19849c56-10f0-43b3-88cf-d77edd1fa04e')}"
4,18.88,"[18.88] [Event ID: 3] Tasks Inputs Sent to Worker {'tasks': [[Job ID 1000, Task ID 0]], 'from_worker_id': UUID('6262938f-be85-4da5-9816-0ddf1afe713e'), 'to_worker_id': UUID('47d9fcd1-8c4f-4531-a1cf-a13f0b24ac35'), 'force_instance_id': UUID('c0178327-2c36-4a77-a28d-58d61a83c65e'), 'ignore_transfer_time': False}"
5,18.88,"[18.88] [Event ID: 3] Tasks Inputs Sent to Worker {'tasks': [[Job ID 1000, Task ID 1]], 'from_worker_id': UUID('6262938f-be85-4da5-9816-0ddf1afe713e'), 'to_worker_id': UUID('6262938f-be85-4da5-9816-0ddf1afe713e'), 'force_instance_id': UUID('19849c56-10f0-43b3-88cf-d77edd1fa04e'), 'ignore_transfer_time': False}"
6,18.88,"[18.88] [Event ID: 4] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 1000, Task ID 1]], 'from_worker_id': UUID('6262938f-be85-4da5-9816-0ddf1afe713e'), 'to_worker_id': UUID('6262938f-be85-4da5-9816-0ddf1afe713e'), 'force_instance_id': UUID('19849c56-10f0-43b3-88cf-d77edd1fa04e')}"
7,18.88,"[18.88] [Event ID: 13] Batch Started at Worker {'batch': [Batch 05c4ea99-e8b2-47c6-a628-5d0524b3a6ee | Model ID 1] <Jobs [1000]>, 'model_instance_id': UUID('19849c56-10f0-43b3-88cf-d77edd1fa04e'), 'worker_id': UUID('6262938f-be85-4da5-9816-0ddf1afe713e')}"
8,18.959999999999997,"[18.959999999999997] [Event ID: 4] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 1000, Task ID 0]], 'from_worker_id': UUID('6262938f-be85-4da5-9816-0ddf1afe713e'), 'to_worker_id': UUID('47d9fcd1-8c4f-4531-a1cf-a13f0b24ac35'), 'force_instance_id': UUID('c0178327-2c36-4a77-a28d-58d61a83c65e')}"
9,18.959999999999997,"[18.959999999999997] [Event ID: 13] Batch Started at Worker {'batch': [Batch 5cc6765c-cfce-4702-9094-187295221a09 | Model ID 0] <Jobs [1000]>, 'model_instance_id': UUID('c0178327-2c36-4a77-a28d-58d61a83c65e'), 'worker_id': UUID('47d9fcd1-8c4f-4531-a1cf-a13f0b24ac35')}"
10,23.0,"[23] [Event ID: 0] Job Sent to Scheduler {'job': [Job 0, Workflow 6], 'from_client_id': UUID('70cab85d-4535-478d-965d-df149460b85e'), 'ignore_transfer_time': False}"
11,23.88,"[23.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 0, Workflow 6]}"
12,23.88,"[23.88] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 0, Task ID 1]], 'worker_id': UUID('de1a3e37-8fe1-4137-9064-251d211552a3'), 'force_instance_id': UUID('1cca5aa5-c28e-4172-b85c-a09febbbfeda')}"
13,23.88,"[23.88] [Event ID: 3] Tasks Inputs Sent to Worker {'tasks': [[Job ID 0, Task ID 1]], 'from_worker_id': UUID('6262938f-be85-4da5-9816-0ddf1afe713e'), 'to_worker_id': UUID('de1a3e37-8fe1-4137-9064-251d211552a3'), 'force_instance_id': UUID('1cca5aa5-c28e-4172-b85c-a09febbbfeda'), 'ignore_transfer_time': False}"
14,24.68,"[24.68] [Event ID: 4] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 0, Task ID 1]], 'from_worker_id': UUID('6262938f-be85-4da5-9816-0ddf1afe713e'), 'to_worker_id': UUID('de1a3e37-8fe1-4137-9064-251d211552a3'), 'force_instance_id': UUID('1cca5aa5-c28e-4172-b85c-a09febbbfeda')}"
15,24.68,"[24.68] [Event ID: 13] Batch Started at Worker {'batch': [Batch e32a6b96-484e-4a1f-b170-195b1322e851 | Model ID 1] <Jobs [0]>, 'model_instance_id': UUID('1cca5aa5-c28e-4172-b85c-a09febbbfeda'), 'worker_id': UUID('de1a3e37-8fe1-4137-9064-251d211552a3')}"
16,25.814916277771545,"[25.814916277771545] [Event ID: 11] Batch Finished at Worker {'batch': [Batch 5cc6765c-cfce-4702-9094-187295221a09 | Model ID 0] <Jobs [1000]>, 'model_instance_id': UUID('c0178327-2c36-4a77-a28d-58d61a83c65e'), 'worker_id': UUID('47d9fcd1-8c4f-4531-a1cf-a13f0b24ac35')}"
