,job_id,task_id,client_id,workflow_id,model_id,executing_worker_id,arrival_at_scheduler_timestamp,last_dep_dispatch_timestamp,arrival_at_worker_timestamp,execution_start_timestamp,execution_end_timestamp,dropped_timestamp,curr_unfinished_jobs,curr_idle_instances
0,1000,0,b50bd890-7249-4d97-a745-64e22926a898,7,0,47c22603-4912-41f0-8de8-27afe92a9a70,20.0,20.0,20.0,20.0,27.503599352232005,,1,11
1,1000,1,b50bd890-7249-4d97-a745-64e22926a898,7,1,af23522e-0036-4903-b938-edafc66e22a0,20.0,20.0,20.0,20.0,48.57614991820692,,1,11
2,2000,0,fe0fc848-2082-4781-8648-6e30096056e2,8,0,47c22603-4912-41f0-8de8-27afe92a9a70,28.0,28.0,28.0,28.0,34.96886288509591,,2,10
3,2000,1,fe0fc848-2082-4781-8648-6e30096056e2,8,1,1d2f18f0-da31-4a00-8b1f-e2fe9e6caae9,28.0,28.0,28.0,28.0,59.51592220509838,,2,10
4,0,0,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,0,47c22603-4912-41f0-8de8-27afe92a9a70,29.0,34.96886288509591,34.96886288509591,34.96886288509591,42.40133408788505,,3,8
5,0,1,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,1,9569f09b-010f-4622-9399-5082719f4646,29.0,29.0,29.0,29.0,58.79455828917931,,3,8
6,1000,2,b50bd890-7249-4d97-a745-64e22926a898,7,2,47c22603-4912-41f0-8de8-27afe92a9a70,48.57614991820692,48.57614991820692,48.57614991820692,48.57614991820692,56.30244040004824,,3,9
7,1001,0,b50bd890-7249-4d97-a745-64e22926a898,7,0,47c22603-4912-41f0-8de8-27afe92a9a70,52.0,52.0,52.0,52.0,59.18425955786685,,4,8
8,1001,1,b50bd890-7249-4d97-a745-64e22926a898,7,1,af23522e-0036-4903-b938-edafc66e22a0,52.0,52.0,52.0,52.0,85.52985653627437,,4,8
9,1000,3,b50bd890-7249-4d97-a745-64e22926a898,7,3,8de19383-957e-4e2f-8e16-85e472609e1c,56.30244040004824,56.30244040004824,56.30244040004824,56.30244040004824,83.12412314005357,,4,7
10,2001,0,fe0fc848-2082-4781-8648-6e30096056e2,8,0,47c22603-4912-41f0-8de8-27afe92a9a70,57.0,59.18425955786685,59.18425955786685,59.18425955786685,66.08100281921136,,5,6
11,2001,1,fe0fc848-2082-4781-8648-6e30096056e2,8,1,9569f09b-010f-4622-9399-5082719f4646,57.0,58.79455828917931,58.79455828917931,58.79455828917931,90.7349811754705,,5,6
12,0,2,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,2,47c22603-4912-41f0-8de8-27afe92a9a70,58.79455828917931,58.79455828917931,58.79455828917931,58.79455828917931,61.03334103946007,,5,6
13,2000,2,fe0fc848-2082-4781-8648-6e30096056e2,8,2,47c22603-4912-41f0-8de8-27afe92a9a70,59.51592220509838,61.03334103946007,61.03334103946007,61.03334103946007,68.17801182327608,,5,6
14,0,3,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,3,5feef905-9343-4f7e-b924-85c91b8a9f80,61.03334103946007,61.03334103946007,61.03334103946007,61.03334103946007,84.91347197086539,,5,6
15,1,0,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,0,47c22603-4912-41f0-8de8-27afe92a9a70,64.0,66.08100281921136,66.08100281921136,66.08100281921136,73.08289004443145,,6,5
16,1,1,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,1,1d2f18f0-da31-4a00-8b1f-e2fe9e6caae9,64.0,64.0,64.0,64.0,98.12505841127498,,6,5
17,2000,3,fe0fc848-2082-4781-8648-6e30096056e2,8,3,3ea2d193-b3ab-4293-a8f0-8b422cebfa33,68.17801182327608,68.17801182327608,68.17801182327608,68.17801182327608,93.47296330615019,,6,5
18,1000,4,b50bd890-7249-4d97-a745-64e22926a898,7,15,eae01299-0ccd-48bf-a0df-dc89c6708f4b,83.12412314005357,83.12412314005357,83.12412314005357,83.12412314005357,93.26103328021578,,6,6
19,0,4,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,14,566a0c01-9a3b-4ebb-bb3c-9be65d487125,84.91347197086539,84.91347197086539,84.91347197086539,84.91347197086539,87.46921081208833,,6,6
20,1002,0,b50bd890-7249-4d97-a745-64e22926a898,7,0,47c22603-4912-41f0-8de8-27afe92a9a70,85.0,85.0,85.0,85.0,91.94633694092065,,7,5
21,1002,1,b50bd890-7249-4d97-a745-64e22926a898,7,1,af23522e-0036-4903-b938-edafc66e22a0,85.0,85.52985653627437,85.52985653627437,85.52985653627437,116.30024989887019,,7,5
22,1001,2,b50bd890-7249-4d97-a745-64e22926a898,7,2,47c22603-4912-41f0-8de8-27afe92a9a70,85.52985653627437,85.52985653627437,85.52985653627437,85.52985653627437,90.27519905521326,,7,4
23,2,0,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,0,47c22603-4912-41f0-8de8-27afe92a9a70,89.0,91.94633694092065,91.94633694092065,91.94633694092065,101.4789039953917,,7,4
24,2,1,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,1,9569f09b-010f-4622-9399-5082719f4646,89.0,90.7349811754705,90.7349811754705,90.7349811754705,141.31073749467416,,7,4
25,2002,0,fe0fc848-2082-4781-8648-6e30096056e2,8,0,47c22603-4912-41f0-8de8-27afe92a9a70,90.0,91.94633694092065,91.94633694092065,91.94633694092065,101.4789039953917,,8,4
26,2002,1,fe0fc848-2082-4781-8648-6e30096056e2,8,1,9569f09b-010f-4622-9399-5082719f4646,90.0,90.7349811754705,90.7349811754705,90.7349811754705,141.31073749467416,,8,4
27,1001,3,b50bd890-7249-4d97-a745-64e22926a898,7,3,8de19383-957e-4e2f-8e16-85e472609e1c,90.27519905521326,90.27519905521326,90.27519905521326,90.27519905521326,117.40636756616752,,8,5
28,2001,2,fe0fc848-2082-4781-8648-6e30096056e2,8,2,47c22603-4912-41f0-8de8-27afe92a9a70,90.7349811754705,90.7349811754705,90.7349811754705,90.7349811754705,104.38753568001567,,8,4
29,2000,4,fe0fc848-2082-4781-8648-6e30096056e2,8,16,8018012a-f0ff-4b2b-b4c8-5beaa68aba26,93.47296330615019,93.47296330615019,93.47296330615019,93.47296330615019,112.89453776160892,,7,5
30,1,2,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,2,47c22603-4912-41f0-8de8-27afe92a9a70,98.12505841127498,104.38753568001567,104.38753568001567,104.38753568001567,115.32946979773067,,7,5
31,2001,3,fe0fc848-2082-4781-8648-6e30096056e2,8,3,5feef905-9343-4f7e-b924-85c91b8a9f80,104.38753568001567,104.38753568001567,104.38753568001567,104.38753568001567,126.98310068414594,,7,6
32,1003,0,b50bd890-7249-4d97-a745-64e22926a898,7,0,47c22603-4912-41f0-8de8-27afe92a9a70,115.0,115.0,115.0,115.0,123.21051679584508,,7,6
33,1003,1,b50bd890-7249-4d97-a745-64e22926a898,7,1,1d2f18f0-da31-4a00-8b1f-e2fe9e6caae9,115.0,115.0,115.0,115.0,146.14072095498514,,7,6
34,1,3,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,3,3ea2d193-b3ab-4293-a8f0-8b422cebfa33,115.32946979773067,115.32946979773067,115.32946979773067,115.32946979773067,139.91183484448584,,7,5
35,1002,2,b50bd890-7249-4d97-a745-64e22926a898,7,2,47c22603-4912-41f0-8de8-27afe92a9a70,116.30024989887019,116.30024989887019,116.30024989887019,116.30024989887019,122.02359743207283,,7,5
36,1001,4,b50bd890-7249-4d97-a745-64e22926a898,7,15,eae01299-0ccd-48bf-a0df-dc89c6708f4b,117.40636756616752,117.40636756616752,117.40636756616752,117.40636756616752,126.38763266853036,,7,5
37,2003,0,fe0fc848-2082-4781-8648-6e30096056e2,8,0,47c22603-4912-41f0-8de8-27afe92a9a70,119.0,123.21051679584508,123.21051679584508,123.21051679584508,132.4574235440324,,8,4
38,2003,1,fe0fc848-2082-4781-8648-6e30096056e2,8,1,af23522e-0036-4903-b938-edafc66e22a0,119.0,119.0,119.0,119.0,153.5582846105656,,8,4
39,3,0,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,0,47c22603-4912-41f0-8de8-27afe92a9a70,122.0,123.21051679584508,123.21051679584508,123.21051679584508,132.4574235440324,,9,3
40,3,1,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,1,9569f09b-010f-4622-9399-5082719f4646,122.0,141.31073749467416,141.31073749467416,141.31073749467416,171.29920606289002,,9,3
41,1002,3,b50bd890-7249-4d97-a745-64e22926a898,7,3,8de19383-957e-4e2f-8e16-85e472609e1c,122.02359743207283,122.02359743207283,122.02359743207283,122.02359743207283,144.7728403970764,,9,4
42,2001,4,fe0fc848-2082-4781-8648-6e30096056e2,8,16,8018012a-f0ff-4b2b-b4c8-5beaa68aba26,126.98310068414594,126.98310068414594,126.98310068414594,126.98310068414594,147.17940321121952,,8,5
43,1,4,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,14,566a0c01-9a3b-4ebb-bb3c-9be65d487125,139.91183484448584,139.91183484448584,139.91183484448584,139.91183484448584,142.72309682593547,,8,6
44,2,2,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,2,47c22603-4912-41f0-8de8-27afe92a9a70,141.31073749467416,141.31073749467416,141.31073749467416,141.31073749467416,154.92227989946835,,8,5
45,2002,2,fe0fc848-2082-4781-8648-6e30096056e2,8,2,47c22603-4912-41f0-8de8-27afe92a9a70,141.31073749467416,141.31073749467416,141.31073749467416,141.31073749467416,154.92227989946835,,8,5
46,1002,4,b50bd890-7249-4d97-a745-64e22926a898,7,15,eae01299-0ccd-48bf-a0df-dc89c6708f4b,144.7728403970764,144.7728403970764,144.7728403970764,144.7728403970764,155.2129745431157,,7,6
47,2004,0,fe0fc848-2082-4781-8648-6e30096056e2,8,0,47c22603-4912-41f0-8de8-27afe92a9a70,145.0,145.0,145.0,145.0,152.6550392971813,,8,5
48,2004,1,fe0fc848-2082-4781-8648-6e30096056e2,8,1,1d2f18f0-da31-4a00-8b1f-e2fe9e6caae9,145.0,146.14072095498514,146.14072095498514,146.14072095498514,197.4048025539789,,8,5
49,1004,0,b50bd890-7249-4d97-a745-64e22926a898,7,0,47c22603-4912-41f0-8de8-27afe92a9a70,146.0,152.6550392971813,152.6550392971813,152.6550392971813,159.7150928288857,,9,4
50,1004,1,b50bd890-7249-4d97-a745-64e22926a898,7,1,1d2f18f0-da31-4a00-8b1f-e2fe9e6caae9,146.0,146.14072095498514,146.14072095498514,146.14072095498514,197.4048025539789,,9,4
51,1003,2,b50bd890-7249-4d97-a745-64e22926a898,7,2,47c22603-4912-41f0-8de8-27afe92a9a70,146.14072095498514,154.92227989946835,154.92227989946835,154.92227989946835,162.28403771736424,,9,4
52,2003,2,fe0fc848-2082-4781-8648-6e30096056e2,8,2,47c22603-4912-41f0-8de8-27afe92a9a70,153.5582846105656,154.92227989946835,154.92227989946835,154.92227989946835,162.28403771736424,,8,6
53,2,3,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,3,8de19383-957e-4e2f-8e16-85e472609e1c,154.92227989946835,154.92227989946835,154.92227989946835,154.92227989946835,206.71576391629526,,8,6
