,worker_id,instance_id,model_id,batch_id,batched_job_task_ids,batch_size,execution_start_timestamp,execution_end_timestamp,preempted_timestamp
0,e5f2953c-18ab-4aa9-9ce2-e4fc7586d148,9d205762-c147-441a-94d6-bb3ca24a1825,0,eed48b85-f00a-4695-b07d-e66cc88e0596,"[(2000, 0)]",1,16.0,23.406903845294906,
1,cbb45ed5-f951-4907-8a10-bdeab2da92a0,4c0c8fc6-b961-4943-a4dd-931d82727bd2,1,5afbce36-1b68-4405-b113-0ede3fbd94d6,"[(2000, 1)]",1,16.0,46.54447833247127,
2,e5f2953c-18ab-4aa9-9ce2-e4fc7586d148,9d205762-c147-441a-94d6-bb3ca24a1825,0,fb53c97d-504b-4860-8e3c-0b0451d55b0d,"[(0, 0)]",1,26.0,33.42091416906654,
3,0b712812-9b7f-44c8-b1d0-9c660e08df89,7e44d489-2298-4350-93de-6c3da29bee29,1,115e38ba-08cd-4334-84ff-6630a69d4eff,"[(0, 1)]",1,26.0,57.34394224516691,
4,f74d34e6-bd79-4b92-a525-665a8372daca,f66b41bc-9903-4e94-88a5-210137c794c2,1,881c81fc-e110-4cfd-8399-a48d5b9036c4,"[(1000, 1)]",1,28.0,57.691682502152545,
5,e5f2953c-18ab-4aa9-9ce2-e4fc7586d148,9d205762-c147-441a-94d6-bb3ca24a1825,0,1c1abbfe-9153-4c5a-aa75-f941ee95cc19,"[(1000, 0)]",1,33.42091416906654,41.39719088145233,
6,e5f2953c-18ab-4aa9-9ce2-e4fc7586d148,9d205762-c147-441a-94d6-bb3ca24a1825,0,269fb6af-39e1-40f4-ba4c-fefb4d7f121e,"[(2001, 0)]",1,43.0,50.62046584614924,
7,cbb45ed5-f951-4907-8a10-bdeab2da92a0,4c0c8fc6-b961-4943-a4dd-931d82727bd2,1,2a095c6c-e3bd-4942-9464-9635695b4ed6,"[(2001, 1)]",1,46.54447833247127,78.10371883371755,
8,e5f2953c-18ab-4aa9-9ce2-e4fc7586d148,b446eb1f-7163-49d3-8bbb-e8c5115f8ef0,2,2776a94d-b9c4-484b-9c60-2f8039b96396,"[(2000, 2)]",1,46.54447833247127,49.09683492279075,
9,0a6fff68-10b5-4e42-b37a-0b185d0c43a8,61c6facb-1670-4306-9d65-56b187f13c53,3,b0c46225-7b07-4db6-8937-3f88b3c1a562,"[(2000, 3)]",1,49.09683492279075,74.82735972073297,
10,e5f2953c-18ab-4aa9-9ce2-e4fc7586d148,9d205762-c147-441a-94d6-bb3ca24a1825,0,45f140f0-e58c-401d-aa53-84b8194891f6,"[(1001, 0)]",1,50.62046584614924,57.550086526704256,
11,0b712812-9b7f-44c8-b1d0-9c660e08df89,7e44d489-2298-4350-93de-6c3da29bee29,1,3690a078-548a-4405-b013-64ca1208db71,"[(1001, 1)]",1,57.34394224516691,86.22156735475899,
12,e5f2953c-18ab-4aa9-9ce2-e4fc7586d148,b446eb1f-7163-49d3-8bbb-e8c5115f8ef0,2,538af50c-4050-47ca-8097-88cfea4f72d2,"[(0, 2)]",1,57.34394224516691,64.87235216345948,
13,e5f2953c-18ab-4aa9-9ce2-e4fc7586d148,9d205762-c147-441a-94d6-bb3ca24a1825,0,d2adebbb-e023-4605-bd4a-848c1750b3a2,"[(1, 0)]",1,58.0,65.32326782360873,
14,f74d34e6-bd79-4b92-a525-665a8372daca,f66b41bc-9903-4e94-88a5-210137c794c2,1,41a89909-0f6f-4680-8e0f-d201a3f47e89,"[(1, 1)]",1,58.0,89.38187626094113,
15,e5f2953c-18ab-4aa9-9ce2-e4fc7586d148,b446eb1f-7163-49d3-8bbb-e8c5115f8ef0,2,1ba78235-4971-4dd0-b8cb-437a544e2478,"[(1000, 2)]",1,64.87235216345948,67.27672498780886,
16,7ba71d9f-600e-4a42-8976-8af844442028,8a7d357b-176d-4987-ac3b-05630b3ca649,3,ad45334d-903d-47e4-97c2-82c987fe4fe7,"[(0, 3)]",1,64.87235216345948,89.95738451084026,
