,time,event
0,16.0,"[16] [Event ID: 0] Job Sent to Scheduler {'job': [Job 2000, Workflow 8], 'from_client_id': UUID('27ab8bd5-ec8c-4d56-a64a-3fec62880d42'), 'ignore_transfer_time': True}"
1,16.0,"[16] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 2000, Workflow 8]}"
2,16.0,"[16] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 2000, Task ID 0]], 'worker_id': UUID('52fa0c14-abfb-43ec-8a9f-8f623a4c2400'), 'force_instance_id': UUID('1c110a64-d2f1-4ab9-aeda-289e7609c130')}"
3,16.0,"[16] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 2000, Task ID 1]], 'worker_id': UUID('970ed4d3-9a45-44b8-8de3-ca264d50546b'), 'force_instance_id': UUID('9ee7e552-b092-47a7-9768-0140212c6a8d')}"
4,16.0,"[16] [Event ID: 3] Tasks Inputs Sent to Worker {'tasks': [[Job ID 2000, Task ID 0]], 'from_worker_id': UUID('e1a29bc8-7d3f-4a40-9929-78aea229b1c2'), 'to_worker_id': UUID('52fa0c14-abfb-43ec-8a9f-8f623a4c2400'), 'force_instance_id': UUID('1c110a64-d2f1-4ab9-aeda-289e7609c130'), 'ignore_transfer_time': True}"
5,16.0,"[16] [Event ID: 3] Tasks Inputs Sent to Worker {'tasks': [[Job ID 2000, Task ID 1]], 'from_worker_id': UUID('e1a29bc8-7d3f-4a40-9929-78aea229b1c2'), 'to_worker_id': UUID('970ed4d3-9a45-44b8-8de3-ca264d50546b'), 'force_instance_id': UUID('9ee7e552-b092-47a7-9768-0140212c6a8d'), 'ignore_transfer_time': True}"
6,16.0,"[16] [Event ID: 4] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 2000, Task ID 0]], 'from_worker_id': UUID('e1a29bc8-7d3f-4a40-9929-78aea229b1c2'), 'to_worker_id': UUID('52fa0c14-abfb-43ec-8a9f-8f623a4c2400'), 'force_instance_id': UUID('1c110a64-d2f1-4ab9-aeda-289e7609c130')}"
7,16.0,"[16] [Event ID: 4] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 2000, Task ID 1]], 'from_worker_id': UUID('e1a29bc8-7d3f-4a40-9929-78aea229b1c2'), 'to_worker_id': UUID('970ed4d3-9a45-44b8-8de3-ca264d50546b'), 'force_instance_id': UUID('9ee7e552-b092-47a7-9768-0140212c6a8d')}"
8,16.0,"[16] [Event ID: 11] Batch Started at Worker {'batch': [Batch cfa9ee3a-75f0-4bfa-84d9-85c48596343d | Model ID 0] <Jobs [2000]>, 'model_instance_id': UUID('1c110a64-d2f1-4ab9-aeda-289e7609c130'), 'worker_id': UUID('52fa0c14-abfb-43ec-8a9f-8f623a4c2400')}"
9,16.0,"[16] [Event ID: 11] Batch Started at Worker {'batch': [Batch 2e9330dd-8095-401e-9d79-25ad38724b8f | Model ID 1] <Jobs [2000]>, 'model_instance_id': UUID('9ee7e552-b092-47a7-9768-0140212c6a8d'), 'worker_id': UUID('970ed4d3-9a45-44b8-8de3-ca264d50546b')}"
10,23.406903845294906,"[23.406903845294906] [Event ID: 12] Batch Finished at Worker {'batch': [Batch cfa9ee3a-75f0-4bfa-84d9-85c48596343d | Model ID 0] <Jobs [2000]>, 'model_instance_id': UUID('1c110a64-d2f1-4ab9-aeda-289e7609c130'), 'worker_id': UUID('52fa0c14-abfb-43ec-8a9f-8f623a4c2400')}"
