,worker_id,instance_id,model_id,batch_id,batched_job_task_ids,batch_size,execution_start_timestamp,execution_end_timestamp,preempted_timestamp
0,5966165b-cf62-46e7-a41b-49bcaf314bf6,66b2d264-1a7a-4628-bf82-02fd161765b2,0,96f36c05-ec13-4899-afce-b59a21f967e8,"[(2000, 0)]",1,16.0,23.406903845294906,
1,f73f138f-8a31-465a-820f-31bbd9cd1d59,2a2dddd1-d026-476c-ab01-64de1510dd0b,1,5cce002c-25d7-4c92-85b9-caffddaeea23,"[(2000, 1)]",1,16.0,46.54447833247127,
2,5966165b-cf62-46e7-a41b-49bcaf314bf6,66b2d264-1a7a-4628-bf82-02fd161765b2,0,3bfc9987-ba76-4d27-adfa-5301bcd01aed,"[(0, 0)]",1,26.0,33.42091416906654,
3,b6228990-5a4a-440c-9c99-6ea27c55dab0,623b94e8-806e-4b6b-827a-6fbe0d9cef97,1,d1f68012-0112-4c3d-90d8-3fb3910e7383,"[(0, 1)]",1,26.0,57.34394224516691,
4,7278dfde-a770-4bb0-acdd-1b1aede02ef4,d04feaf8-f332-4cff-8165-495fc8a67f22,1,e409406f-13c3-4f04-9bca-df25b56e910d,"[(1000, 1)]",1,28.0,57.691682502152545,
5,5966165b-cf62-46e7-a41b-49bcaf314bf6,66b2d264-1a7a-4628-bf82-02fd161765b2,0,408b8393-0553-4aa5-827a-1e048b9786bd,"[(1000, 0)]",1,33.42091416906654,41.39719088145233,
6,5966165b-cf62-46e7-a41b-49bcaf314bf6,66b2d264-1a7a-4628-bf82-02fd161765b2,0,62403258-c93e-43e6-bc6b-fec3c912600b,"[(2001, 0)]",1,43.0,50.62046584614924,
7,f73f138f-8a31-465a-820f-31bbd9cd1d59,2a2dddd1-d026-476c-ab01-64de1510dd0b,1,8f9041f4-88bb-4b89-96af-48b3f6b1d951,"[(2001, 1)]",1,46.54447833247127,78.10371883371755,
8,5966165b-cf62-46e7-a41b-49bcaf314bf6,49f97109-0674-4d16-bfcb-7f119e64a4c8,2,63682af4-36b7-4ab5-b855-6a18ef43a6d6,"[(2000, 2)]",1,46.54447833247127,49.09683492279075,
9,3d2a4973-6a8f-4b67-bbf9-9c2d8c801235,0669eec3-d1dc-4dc2-9a7d-49ef4d54a034,3,604ac2a2-95dd-4861-bf09-d65349fa935f,"[(2000, 3)]",1,49.09683492279075,74.82735972073297,
10,5966165b-cf62-46e7-a41b-49bcaf314bf6,66b2d264-1a7a-4628-bf82-02fd161765b2,0,3fb32662-42ea-46bf-8621-fac7030d1e0b,"[(1001, 0)]",1,50.62046584614924,57.550086526704256,
11,b6228990-5a4a-440c-9c99-6ea27c55dab0,623b94e8-806e-4b6b-827a-6fbe0d9cef97,1,f4d3635e-3c28-422a-99d0-1b6fae02cb23,"[(1001, 1)]",1,57.34394224516691,86.22156735475899,
12,5966165b-cf62-46e7-a41b-49bcaf314bf6,49f97109-0674-4d16-bfcb-7f119e64a4c8,2,b24af639-3ed4-483e-bc53-3e032532dfda,"[(0, 2)]",1,57.34394224516691,64.87235216345948,
13,5966165b-cf62-46e7-a41b-49bcaf314bf6,66b2d264-1a7a-4628-bf82-02fd161765b2,0,5043631c-b380-46f9-a91f-738269c68c63,"[(1, 0)]",1,58.0,65.32326782360873,
14,7278dfde-a770-4bb0-acdd-1b1aede02ef4,d04feaf8-f332-4cff-8165-495fc8a67f22,1,22ee5f4f-542b-45ee-a0a6-f4e37efabd22,"[(1, 1)]",1,58.0,89.38187626094113,
15,5966165b-cf62-46e7-a41b-49bcaf314bf6,49f97109-0674-4d16-bfcb-7f119e64a4c8,2,7fcb74d5-8a21-4a0d-a0fd-bb1c498aec5c,"[(1000, 2)]",1,64.87235216345948,67.27672498780886,
16,0c4daeed-98c2-4296-8bec-1ab5a8423e05,2b12c1e3-26da-412b-a799-53fcda1263b1,3,81284558-3915-47cf-84e8-5938cbd7a27d,"[(0, 3)]",1,64.87235216345948,89.95738451084026,
17,a6f34689-7670-4d54-8bee-7e3484cc010f,6c45b994-3981-4202-b495-35a4db330b18,3,202bf1e6-b911-431b-abb3-c786b43f5175,"[(1000, 3)]",1,67.27672498780886,91.23954447036107,
18,5966165b-cf62-46e7-a41b-49bcaf314bf6,66b2d264-1a7a-4628-bf82-02fd161765b2,0,d4d24e6a-001c-44f3-8c93-b9136fbf17b8,"[(2002, 0)]",1,70.0,78.37776914756685,
19,e3473847-6b67-4224-9d8d-352b7faaf218,824c5d19-d9f2-4e2c-9817-e024bd2ece28,16,2c278cc6-f5c1-4ce3-8902-9f655faf66a9,"[(2000, 4)]",1,74.82735972073297,95.61950684213932,
20,f73f138f-8a31-465a-820f-31bbd9cd1d59,2a2dddd1-d026-476c-ab01-64de1510dd0b,1,e93875bc-7286-47cd-b457-deaecaca432d,"[(2002, 1)]",1,78.10371883371755,109.88929098708314,
21,5966165b-cf62-46e7-a41b-49bcaf314bf6,49f97109-0674-4d16-bfcb-7f119e64a4c8,2,50fa05dc-61db-42fd-a48c-aea784ee15c0,"[(2001, 2)]",1,78.10371883371755,83.41807901842604,
22,5966165b-cf62-46e7-a41b-49bcaf314bf6,66b2d264-1a7a-4628-bf82-02fd161765b2,0,02e0c191-f5e2-4933-8c0b-9fc53a322616,"[(1002, 0)]",1,78.37776914756685,85.24692873025873,
23,3d2a4973-6a8f-4b67-bbf9-9c2d8c801235,0669eec3-d1dc-4dc2-9a7d-49ef4d54a034,3,a40299ec-bfc1-4621-a6dc-0720d6fcb5ec,"[(2001, 3)]",1,83.41807901842604,111.66981724006422,
24,5966165b-cf62-46e7-a41b-49bcaf314bf6,66b2d264-1a7a-4628-bf82-02fd161765b2,0,dfef47b1-d24f-4f67-bb41-611f563fd351,"[(2, 0)]",1,85.24692873025873,92.43464195196988,
25,b6228990-5a4a-440c-9c99-6ea27c55dab0,623b94e8-806e-4b6b-827a-6fbe0d9cef97,1,2a2518b6-0d34-403e-8461-9c84cc7ab3cc,"[(1002, 1)]",1,86.22156735475899,116.96659980544831,
26,5966165b-cf62-46e7-a41b-49bcaf314bf6,49f97109-0674-4d16-bfcb-7f119e64a4c8,2,deb0177c-74b4-4d8a-a483-f047c1baaca8,"[(1001, 2)]",1,86.22156735475899,95.19003135576664,
