,worker_id,instance_id,model_id,batch_id,batched_job_task_ids,batch_size,execution_start_timestamp,execution_end_timestamp,preempted_timestamp
0,7d1f0677-feb2-4df5-94f4-ce86a557688e,c5b5ff1b-0635-4e97-ad5b-c937be5e1d72,0,1ec910d8-5c6a-4570-ac09-d66ca6cd9b87,"[(1000, 0)]",1,18.959999999999997,26.483755871547867,
1,1832103d-3cfb-41a1-a963-f93154900f04,3f1a9be9-d626-4e36-a14f-ee21c480f921,1,23c72439-843a-4560-bda5-8c7bc80dc025,"[(1000, 1)]",1,19.68,48.662060957919735,
2,1af7e447-d975-4fd2-a64d-bb266d620806,e39445d7-253c-4c01-b258-c71de45650f6,1,4110d073-85a1-496f-84af-af670b4206e7,"[(0, 1)]",1,24.68,55.45298677929664,
3,7d1f0677-feb2-4df5-94f4-ce86a557688e,c5b5ff1b-0635-4e97-ad5b-c937be5e1d72,0,e9d351f6-1917-4496-b123-60d80ff12e63,"[(0, 0)]",1,26.563755871547865,33.59339322195994,
4,b7346278-6254-48ac-aae5-d5a4849faf90,eb18c062-3af4-4af5-b9a5-d4f048a486e0,1,529f73de-b5e2-43b8-877e-dd4c84d8178f,"[(2000, 1)]",1,29.88,64.32609995200923,
5,7d1f0677-feb2-4df5-94f4-ce86a557688e,c5b5ff1b-0635-4e97-ad5b-c937be5e1d72,0,390e92ff-4388-47ec-a029-b47115cafd7a,"[(2000, 0)]",1,33.67339322195994,41.167073683819495,
6,7d1f0677-feb2-4df5-94f4-ce86a557688e,2b2bd34a-d76c-4f33-ade1-f4b891708af6,2,fd4215f0-bc89-48c0-b0fd-a67cb1b01c1a,"[(1000, 2)]",1,50.262060957919736,59.712757486821296,
7,7d1f0677-feb2-4df5-94f4-ce86a557688e,c5b5ff1b-0635-4e97-ad5b-c937be5e1d72,0,3b66a744-e12a-42d1-980e-5a9386298df9,"[(1, 0)]",1,52.96,60.19531725957209,
8,1832103d-3cfb-41a1-a963-f93154900f04,3f1a9be9-d626-4e36-a14f-ee21c480f921,1,4a8c9ac2-cfd7-4f76-933d-c48f2f6d2b7b,"[(1, 1)]",1,53.68,82.71316633719374,
9,1af7e447-d975-4fd2-a64d-bb266d620806,e39445d7-253c-4c01-b258-c71de45650f6,1,16dfe719-834b-4aaa-be3d-3fb56ffd3c71,"[(1001, 1)]",1,56.252986779296634,90.31065727792175,
10,7d1f0677-feb2-4df5-94f4-ce86a557688e,c5b5ff1b-0635-4e97-ad5b-c937be5e1d72,0,21cc9a6b-b965-4a35-881d-2a34b9b75dd2,"[(1001, 0)]",1,60.27531725957209,67.46303048128324,
11,7d1f0677-feb2-4df5-94f4-ce86a557688e,2b2bd34a-d76c-4f33-ade1-f4b891708af6,2,1900d5bc-54d5-431e-b5bd-9deaedc87798,"[(0, 2)]",1,61.3127574868213,67.70319155348886,
12,3cef3865-62e6-46e3-bb98-5e7b5f76916f,0aaa0dcc-53e2-4c86-9f94-a80b15485930,3,45eee60a-4a68-408f-a33f-b91c6c81f635,"[(1000, 3)]",1,61.3127574868213,87.22127438883355,
13,b7346278-6254-48ac-aae5-d5a4849faf90,eb18c062-3af4-4af5-b9a5-d4f048a486e0,1,4b36054c-1c06-49dd-9c8b-00dd4b43bc8f,"[(2001, 1)]",1,65.88,93.91498805715987,
14,7d1f0677-feb2-4df5-94f4-ce86a557688e,c5b5ff1b-0635-4e97-ad5b-c937be5e1d72,0,7e179aa2-0b68-4be5-b333-5ebdbc97a643,"[(2001, 0)]",1,67.54303048128324,75.345546267033,
15,7d1f0677-feb2-4df5-94f4-ce86a557688e,2b2bd34a-d76c-4f33-ade1-f4b891708af6,2,70ab6a36-84c1-48c6-9392-aa90aa7e8f7f,"[(2000, 2)]",1,69.30319155348886,76.93571538207279,
16,1e8df4c3-a1f3-4cb9-90cc-75dede3f793f,2384c84e-74ef-41d4-a1ce-d44987541c50,3,c2dc74bf-f7cb-4887-a572-cf717ef49ac2,"[(0, 3)]",1,69.30319155348886,93.77774977197488,
17,7d1f0677-feb2-4df5-94f4-ce86a557688e,c5b5ff1b-0635-4e97-ad5b-c937be5e1d72,0,4caf889b-b5f4-43c5-bcc4-335f1e32e55d,"[(2, 0)]",1,75.425546267033,82.1970287484207,
18,66983af3-88a4-40bc-a923-4db370bf10af,44fb6605-05e5-4ba0-8a9e-2f12bc0898da,3,b1c9a11b-164e-42aa-af9b-358b5aa5863a,"[(2000, 3)]",1,78.53571538207278,102.42658724433483,
19,7d1f0677-feb2-4df5-94f4-ce86a557688e,c5b5ff1b-0635-4e97-ad5b-c937be5e1d72,0,d30c9586-e747-4454-9696-01e9f6a79319,"[(1002, 0)]",1,82.2770287484207,90.23925195811498,
20,1832103d-3cfb-41a1-a963-f93154900f04,3f1a9be9-d626-4e36-a14f-ee21c480f921,1,8bf0b652-7f9b-4ecd-ac53-43d5b95614f0,"[(2, 1), (1002, 1)]",2,84.31316633719373,140.94832654810625,
21,7d1f0677-feb2-4df5-94f4-ce86a557688e,2b2bd34a-d76c-4f33-ade1-f4b891708af6,2,9b1f891d-eb00-417f-89ce-219d1fda1c50,"[(1, 2)]",1,84.31316633719373,88.7734635644708,
22,4b6ff307-530b-45f6-9464-c61014f9ed1c,bb172b65-60f6-46ef-a7f7-30b0214f4047,15,618423fb-bd4c-4855-8979-f113b77f596b,"[(1000, 4)]",1,89.62127438883356,98.59626871846923,
23,3cef3865-62e6-46e3-bb98-5e7b5f76916f,0aaa0dcc-53e2-4c86-9f94-a80b15485930,3,23a4ebac-490e-4cc5-97fd-56925eacbe88,"[(1, 3)]",1,90.3734635644708,116.44796987711752,
24,7d1f0677-feb2-4df5-94f4-ce86a557688e,2b2bd34a-d76c-4f33-ade1-f4b891708af6,2,bb29ed90-694a-433c-88cc-1ee2f5c81918,"[(1001, 2)]",1,91.91065727792174,99.9515169274172,
25,7d1f0677-feb2-4df5-94f4-ce86a557688e,c5b5ff1b-0635-4e97-ad5b-c937be5e1d72,0,6453bfda-e458-4318-be2b-fb1f7f75c4df,"[(2002, 0)]",1,91.96,99.28517532363924,
26,1af7e447-d975-4fd2-a64d-bb266d620806,e39445d7-253c-4c01-b258-c71de45650f6,1,b9e4a6de-7064-4979-834c-544e73b1dce3,"[(2002, 1)]",1,92.67999999999999,123.18557547609984,
27,43007130-3ecf-4eec-80ec-6865e04d39d1,ce14f137-3952-4c3e-b23b-803b7667d3c7,14,cd2e9e67-7647-4d12-8129-9de49f3708f1,"[(0, 4)]",1,96.17774977197489,98.50552526234668,
28,b7346278-6254-48ac-aae5-d5a4849faf90,eb18c062-3af4-4af5-b9a5-d4f048a486e0,1,2255a871-3b8d-405a-bf28-9e350b9c8629,"[(3, 1)]",1,97.88,129.5895169137989,
29,7d1f0677-feb2-4df5-94f4-ce86a557688e,c5b5ff1b-0635-4e97-ad5b-c937be5e1d72,0,a069e914-5df2-4664-ae5b-1e9fa49aab53,"[(3, 0)]",1,99.36517532363924,107.598739984576,
30,7d1f0677-feb2-4df5-94f4-ce86a557688e,2b2bd34a-d76c-4f33-ade1-f4b891708af6,2,a2aab7dc-301e-423b-a233-7d53d1b0cb9e,"[(2001, 2)]",1,101.5515169274172,105.11908608441253,
31,1e8df4c3-a1f3-4cb9-90cc-75dede3f793f,2384c84e-74ef-41d4-a1ce-d44987541c50,3,d5d32333-366b-458d-98e6-0fa85f14c436,"[(1001, 3)]",1,101.5515169274172,127.2551116213358,
32,9af162bd-24b4-4156-af12-17a90271244d,b1add710-d1ab-44f6-a6f8-9799c9ad34c2,16,a341e9b2-aa81-46a2-8c8d-4a52865bc5d7,"[(2000, 4)]",1,104.82658724433483,124.92856532788377,
