,job_id,task_id,client_id,workflow_id,model_id,executing_worker_id,arrival_at_scheduler_timestamp,last_dep_dispatch_timestamp,arrival_at_worker_timestamp,execution_start_timestamp,execution_end_timestamp,dropped_timestamp,dropped_at_task_id,curr_unfinished_jobs,curr_idle_instances,executing_worker_qlen_at_arrival
0,0,0,bdff69a8-5878-412c-a0a4-45f6ca58b5fd,6,0,edae2059-d5b9-4f00-9b7f-99fa4b10a903,39.88,39.88,39.96,39.96,45.96028876250868,,,1,11,0.0
1,0,1,bdff69a8-5878-412c-a0a4-45f6ca58b5fd,6,1,710c2453-b7b7-4a78-803f-5083a1c21157,39.88,39.88,40.68,40.68,73.03762257025235,,,1,11,0.0
2,1000,0,cb7a9709-eed3-4e0d-9100-92c0760dc845,7,0,edae2059-d5b9-4f00-9b7f-99fa4b10a903,43.88,45.96028876250868,46.12028876250868,46.12028876250868,54.979339802872,,,2,9,0.0
3,1000,1,cb7a9709-eed3-4e0d-9100-92c0760dc845,7,1,7f02ffbc-0fb2-48f7-8ea5-c6cc2d5d6656,43.88,43.88,43.88,43.88,73.58525585101853,,,2,9,0.0
4,2000,0,5303cdb4-5737-4f6a-9a19-42e86f986012,8,0,edae2059-d5b9-4f00-9b7f-99fa4b10a903,44.88,45.96028876250868,46.12028876250868,46.12028876250868,54.979339802872,,,3,8,0.0
5,2000,1,5303cdb4-5737-4f6a-9a19-42e86f986012,8,1,352c0ed0-5c8d-4f8f-a1d6-1f2d712dc555,44.88,44.88,45.68,45.68,76.66072412379395,,,3,8,0.0
6,0,2,bdff69a8-5878-412c-a0a4-45f6ca58b5fd,6,2,edae2059-d5b9-4f00-9b7f-99fa4b10a903,73.03762257025235,73.03762257025235,74.63762257025235,74.63762257025235,79.8997968448068,,,3,9,0.0
7,1000,2,cb7a9709-eed3-4e0d-9100-92c0760dc845,7,2,edae2059-d5b9-4f00-9b7f-99fa4b10a903,73.58525585101853,79.8997968448068,81.4997968448068,81.4997968448068,93.1289977107384,,,3,10,0.0
8,2001,0,5303cdb4-5737-4f6a-9a19-42e86f986012,8,0,edae2059-d5b9-4f00-9b7f-99fa4b10a903,74.88,74.88,74.96,74.96,82.54262856402161,,,4,9,0.0
9,2001,1,5303cdb4-5737-4f6a-9a19-42e86f986012,8,1,710c2453-b7b7-4a78-803f-5083a1c21157,74.88,74.88,75.67999999999999,75.67999999999999,103.68084099105012,,,4,9,0.0
10,2000,2,5303cdb4-5737-4f6a-9a19-42e86f986012,8,2,edae2059-d5b9-4f00-9b7f-99fa4b10a903,76.66072412379395,79.8997968448068,81.4997968448068,81.4997968448068,93.1289977107384,,,4,8,0.0
11,0,3,bdff69a8-5878-412c-a0a4-45f6ca58b5fd,6,3,b6c1dc4e-43bc-4983-ab6c-aa168574d4f5,79.8997968448068,79.8997968448068,81.4997968448068,81.4997968448068,108.53626397025451,,,4,9,0.0
12,1001,0,cb7a9709-eed3-4e0d-9100-92c0760dc845,7,0,edae2059-d5b9-4f00-9b7f-99fa4b10a903,84.88,84.88,84.96,84.96,92.68680053147332,,,5,8,0.0
13,1001,1,cb7a9709-eed3-4e0d-9100-92c0760dc845,7,1,7f02ffbc-0fb2-48f7-8ea5-c6cc2d5d6656,84.88,84.88,84.88,84.88,113.91151075777917,,,5,8,0.0
14,1,0,bdff69a8-5878-412c-a0a4-45f6ca58b5fd,6,0,edae2059-d5b9-4f00-9b7f-99fa4b10a903,85.88,92.68680053147332,92.76680053147332,92.76680053147332,99.50858753026701,,,6,6,0.0
15,1,1,bdff69a8-5878-412c-a0a4-45f6ca58b5fd,6,1,352c0ed0-5c8d-4f8f-a1d6-1f2d712dc555,85.88,85.88,86.67999999999999,86.67999999999999,117.98955410184652,,,6,6,0.0
16,1000,3,cb7a9709-eed3-4e0d-9100-92c0760dc845,7,3,a2218bf8-6ad1-4641-948a-16eaf42531ca,93.1289977107384,93.1289977107384,96.3289977107384,96.3289977107384,143.14204684889899,,,6,6,0.0
17,2000,3,5303cdb4-5737-4f6a-9a19-42e86f986012,8,3,a2218bf8-6ad1-4641-948a-16eaf42531ca,93.1289977107384,93.1289977107384,96.3289977107384,96.3289977107384,143.14204684889899,,,6,6,0.0
18,2001,2,5303cdb4-5737-4f6a-9a19-42e86f986012,8,2,edae2059-d5b9-4f00-9b7f-99fa4b10a903,103.68084099105012,103.68084099105012,105.28084099105011,105.28084099105011,113.91353738850455,,,6,7,0.0
19,0,4,bdff69a8-5878-412c-a0a4-45f6ca58b5fd,6,14,064b0a99-85bb-4740-957c-679ea82656ed,108.53626397025451,108.53626397025451,110.93626397025452,110.93626397025452,113.25783992402347,,,6,7,0.0
20,2002,0,5303cdb4-5737-4f6a-9a19-42e86f986012,8,0,edae2059-d5b9-4f00-9b7f-99fa4b10a903,112.88,112.88,112.96,112.96,120.43615227226012,,,7,6,0.0
21,2002,1,5303cdb4-5737-4f6a-9a19-42e86f986012,8,1,710c2453-b7b7-4a78-803f-5083a1c21157,112.88,112.88,113.67999999999999,113.67999999999999,143.8437539241772,,,7,6,0.0
22,1001,2,cb7a9709-eed3-4e0d-9100-92c0760dc845,7,2,edae2059-d5b9-4f00-9b7f-99fa4b10a903,113.91151075777917,113.91353738850455,115.51353738850455,115.51353738850455,130.4702688857109,,,6,6,0.0
23,2001,3,5303cdb4-5737-4f6a-9a19-42e86f986012,8,3,b6c1dc4e-43bc-4983-ab6c-aa168574d4f5,113.91353738850455,113.91353738850455,115.51353738850455,115.51353738850455,142.3352201285099,,,6,7,0.0
24,1,2,bdff69a8-5878-412c-a0a4-45f6ca58b5fd,6,2,edae2059-d5b9-4f00-9b7f-99fa4b10a903,117.98955410184652,130.4702688857109,132.0702688857109,132.0702688857109,135.41946274404222,,,6,6,0.0
25,2,0,bdff69a8-5878-412c-a0a4-45f6ca58b5fd,6,0,edae2059-d5b9-4f00-9b7f-99fa4b10a903,119.88,120.43615227226012,120.51615227226011,120.51615227226011,127.41289553360463,,,7,6,0.0
26,2,1,bdff69a8-5878-412c-a0a4-45f6ca58b5fd,6,1,7f02ffbc-0fb2-48f7-8ea5-c6cc2d5d6656,119.88,119.88,119.88,119.88,148.7502735252182,,,7,6,0.0
27,1002,0,cb7a9709-eed3-4e0d-9100-92c0760dc845,7,0,edae2059-d5b9-4f00-9b7f-99fa4b10a903,125.88,127.41289553360463,127.49289553360462,127.49289553360462,135.78118892300805,,,8,5,0.0
28,1002,1,cb7a9709-eed3-4e0d-9100-92c0760dc845,7,1,352c0ed0-5c8d-4f8f-a1d6-1f2d712dc555,125.88,125.88,126.67999999999999,126.67999999999999,156.20319591724555,,,8,5,0.0
29,1001,3,cb7a9709-eed3-4e0d-9100-92c0760dc845,7,3,0436793f-3efe-44dd-9ef2-bac5f81c8bee,130.4702688857109,130.4702688857109,132.0702688857109,132.0702688857109,157.36522036858503,,,8,5,0.0
