,worker_id,instance_id,model_id,batch_id,batched_job_task_ids,batch_size,execution_start_timestamp,execution_end_timestamp,preempted_timestamp
0,edae2059-d5b9-4f00-9b7f-99fa4b10a903,79f46467-63d8-419a-ad76-b9df881bb257,0,ae88ad44-4bbe-4a23-8bbd-4e89f7526f19,"[(0, 0)]",1,39.96,45.96028876250868,
1,710c2453-b7b7-4a78-803f-5083a1c21157,304142e7-74b1-413f-bba0-d7c292d98a1a,1,0f98803d-0a9f-46da-8cda-767613e40e91,"[(0, 1)]",1,40.68,73.03762257025235,
2,7f02ffbc-0fb2-48f7-8ea5-c6cc2d5d6656,457dc271-f975-4db1-b93a-043ece11fe76,1,d77e159f-64b0-496d-9a9f-4dd328d8b71f,"[(1000, 1)]",1,43.88,73.58525585101853,
3,352c0ed0-5c8d-4f8f-a1d6-1f2d712dc555,586707c9-0c22-4471-b880-5d8f02f62154,1,caab3761-eb46-4aa7-9f2c-eddaa2d44093,"[(2000, 1)]",1,45.68,76.66072412379395,
4,edae2059-d5b9-4f00-9b7f-99fa4b10a903,79f46467-63d8-419a-ad76-b9df881bb257,0,e70b6e80-d18a-42f8-a82d-8f165e6150c1,"[(1000, 0), (2000, 0)]",2,46.12028876250868,54.979339802872,
5,edae2059-d5b9-4f00-9b7f-99fa4b10a903,09f97adf-b5c8-4fd0-816d-eb921cfead6e,2,8914033c-f6dd-4803-a502-3c0f6b275886,"[(0, 2)]",1,74.63762257025235,79.8997968448068,
6,edae2059-d5b9-4f00-9b7f-99fa4b10a903,79f46467-63d8-419a-ad76-b9df881bb257,0,c0d07a5c-b0ce-425a-80c3-d2c6f967c2d1,"[(2001, 0)]",1,74.96,82.54262856402161,
7,710c2453-b7b7-4a78-803f-5083a1c21157,304142e7-74b1-413f-bba0-d7c292d98a1a,1,858e4d18-3246-49d9-8b7e-493ef69f0101,"[(2001, 1)]",1,75.67999999999999,103.68084099105012,
8,edae2059-d5b9-4f00-9b7f-99fa4b10a903,09f97adf-b5c8-4fd0-816d-eb921cfead6e,2,20c0561f-95af-4eb4-a9e1-017e811a7246,"[(1000, 2), (2000, 2)]",2,81.4997968448068,93.1289977107384,
9,b6c1dc4e-43bc-4983-ab6c-aa168574d4f5,37f2e8a3-108c-4e58-8add-23403d7a9c78,3,7afc9941-dcbe-46ad-9777-3a664572a7a7,"[(0, 3)]",1,81.4997968448068,108.53626397025451,
10,7f02ffbc-0fb2-48f7-8ea5-c6cc2d5d6656,457dc271-f975-4db1-b93a-043ece11fe76,1,65152b1b-578f-471f-a0fb-ba7c40091784,"[(1001, 1)]",1,84.88,113.91151075777917,
11,edae2059-d5b9-4f00-9b7f-99fa4b10a903,79f46467-63d8-419a-ad76-b9df881bb257,0,f92519a8-2da9-4518-b934-93092369b2c6,"[(1001, 0)]",1,84.96,92.68680053147332,
12,352c0ed0-5c8d-4f8f-a1d6-1f2d712dc555,586707c9-0c22-4471-b880-5d8f02f62154,1,0a235f7b-83d6-4c28-8176-4d3e844bd2db,"[(1, 1)]",1,86.67999999999999,117.98955410184652,
13,edae2059-d5b9-4f00-9b7f-99fa4b10a903,79f46467-63d8-419a-ad76-b9df881bb257,0,9f598405-a533-473d-9b07-67c5d178fd01,"[(1, 0)]",1,92.76680053147332,99.50858753026701,
14,a2218bf8-6ad1-4641-948a-16eaf42531ca,a343b100-c660-49a3-9fe3-5c6585431e55,3,b55ed9af-caf2-45a3-8e40-e8dc1a0a755f,"[(1000, 3), (2000, 3)]",2,96.3289977107384,143.14204684889899,
15,edae2059-d5b9-4f00-9b7f-99fa4b10a903,09f97adf-b5c8-4fd0-816d-eb921cfead6e,2,6800b3bb-a0bd-43f5-ae4a-a708f628c379,"[(2001, 2)]",1,105.28084099105011,113.91353738850455,
16,064b0a99-85bb-4740-957c-679ea82656ed,90932c67-d4fa-4c85-8038-51f4092824b4,14,fd01fa09-540f-4fdc-8458-8c1afcd7d93b,"[(0, 4)]",1,110.93626397025452,113.25783992402347,
17,edae2059-d5b9-4f00-9b7f-99fa4b10a903,79f46467-63d8-419a-ad76-b9df881bb257,0,064937b7-9ccd-4bb8-a8f6-03aa32ed8448,"[(2002, 0)]",1,112.96,120.43615227226012,
18,710c2453-b7b7-4a78-803f-5083a1c21157,304142e7-74b1-413f-bba0-d7c292d98a1a,1,933eb397-f947-464a-8487-51460d80bb67,"[(2002, 1)]",1,113.67999999999999,143.8437539241772,
19,edae2059-d5b9-4f00-9b7f-99fa4b10a903,09f97adf-b5c8-4fd0-816d-eb921cfead6e,2,950d316b-262c-4149-b995-6b02df54137f,"[(1001, 2)]",1,115.51353738850455,130.4702688857109,
20,b6c1dc4e-43bc-4983-ab6c-aa168574d4f5,37f2e8a3-108c-4e58-8add-23403d7a9c78,3,f9e10660-46dd-41fa-a32b-347edc4c7dc1,"[(2001, 3)]",1,115.51353738850455,142.3352201285099,
21,7f02ffbc-0fb2-48f7-8ea5-c6cc2d5d6656,457dc271-f975-4db1-b93a-043ece11fe76,1,2c5f5deb-278e-4491-b22e-9a8973d80e1d,"[(2, 1)]",1,119.88,148.7502735252182,
22,edae2059-d5b9-4f00-9b7f-99fa4b10a903,79f46467-63d8-419a-ad76-b9df881bb257,0,b48e4de0-b611-4568-8679-c0c2d87cceb3,"[(2, 0)]",1,120.51615227226011,127.41289553360463,
23,352c0ed0-5c8d-4f8f-a1d6-1f2d712dc555,586707c9-0c22-4471-b880-5d8f02f62154,1,fdfeb67a-4c64-4ed4-94d3-21fa661a5d37,"[(1002, 1)]",1,126.67999999999999,156.20319591724555,
24,edae2059-d5b9-4f00-9b7f-99fa4b10a903,79f46467-63d8-419a-ad76-b9df881bb257,0,918f47fc-3d98-4844-af07-6ea40dc3514a,"[(1002, 0)]",1,127.49289553360462,135.78118892300805,
25,edae2059-d5b9-4f00-9b7f-99fa4b10a903,09f97adf-b5c8-4fd0-816d-eb921cfead6e,2,95f1062c-f6d0-4d88-9a5f-a92151f8fa2c,"[(1, 2)]",1,132.0702688857109,135.41946274404222,
26,0436793f-3efe-44dd-9ef2-bac5f81c8bee,a38a81aa-61f6-4f93-b1ba-9a0d2888e0aa,3,42c2395a-861f-4c9a-8446-8b86fb438c3c,"[(1001, 3)]",1,132.0702688857109,157.36522036858503,
27,b6c1dc4e-43bc-4983-ab6c-aa168574d4f5,37f2e8a3-108c-4e58-8add-23403d7a9c78,3,3c73bd29-5233-4923-b0ed-f07ac06d6109,"[(1, 3)]",1,143.93522012850988,168.76444591105292,
28,2a0b0aef-69e9-4319-b5cb-9383fad5135a,30fa609f-1b09-4c72-952d-d5bb141c5e54,16,441abf4c-74e2-4267-b8c5-066f5aa98ece,"[(2001, 4)]",1,144.7352201285099,165.93323354073934,
29,edae2059-d5b9-4f00-9b7f-99fa4b10a903,09f97adf-b5c8-4fd0-816d-eb921cfead6e,2,94f02269-02db-4d26-9dd3-f14b88f6ca68,"[(2002, 2)]",1,145.4437539241772,148.40514075173246,
30,f84983be-a4d8-4b19-a2ab-688abe50f787,c4483db1-4142-4db1-8e53-218220ddf554,15,db02bb7c-8f49-4cb1-af0c-13116bd1cc45,"[(1000, 4)]",1,145.542046848899,155.85085322776442,
31,a2218bf8-6ad1-4641-948a-16eaf42531ca,a343b100-c660-49a3-9fe3-5c6585431e55,3,212e80e5-b8f6-4ae4-99a3-b85a6b045288,"[(2002, 3)]",1,150.00514075173245,174.4642284176622,
32,edae2059-d5b9-4f00-9b7f-99fa4b10a903,09f97adf-b5c8-4fd0-816d-eb921cfead6e,2,08409d93-a91a-41d8-801a-54d3e0252fce,"[(2, 2)]",1,150.3502735252182,163.27386582164007,
33,edae2059-d5b9-4f00-9b7f-99fa4b10a903,79f46467-63d8-419a-ad76-b9df881bb257,0,b8444487-bee2-4dad-9c93-6f5559a35dbb,"[(2003, 0)]",1,151.96,159.96921952880462,
34,710c2453-b7b7-4a78-803f-5083a1c21157,304142e7-74b1-413f-bba0-d7c292d98a1a,1,16c7eb4b-371a-4fa8-b152-cd378257fc9c,"[(2003, 1)]",1,152.68,185.19538015049466,
35,f84983be-a4d8-4b19-a2ab-688abe50f787,c4483db1-4142-4db1-8e53-218220ddf554,15,f2539982-3203-4ac8-8ad9-ce96f4e8afb2,"[(1001, 4)]",1,159.76522036858503,169.7181950963144,
36,7f02ffbc-0fb2-48f7-8ea5-c6cc2d5d6656,457dc271-f975-4db1-b93a-043ece11fe76,1,9960f6b9-ab3e-4705-98d5-f24e3312bf5d,"[(3, 1)]",1,163.88,192.07077258673527,
37,edae2059-d5b9-4f00-9b7f-99fa4b10a903,79f46467-63d8-419a-ad76-b9df881bb257,0,f2e93243-da2d-4b0f-a8ce-4b52f1020da0,"[(3, 0)]",1,163.96,172.1705167958451,
38,edae2059-d5b9-4f00-9b7f-99fa4b10a903,09f97adf-b5c8-4fd0-816d-eb921cfead6e,2,3b5e1f26-cec8-490a-8147-68c04f3538b8,"[(1002, 2)]",1,164.87386582164007,172.3942545108359,
39,0436793f-3efe-44dd-9ef2-bac5f81c8bee,a38a81aa-61f6-4f93-b1ba-9a0d2888e0aa,3,9f651774-4486-4e9f-bb80-439ef7ae96d6,"[(2, 3)]",1,164.87386582164007,189.45623086839527,
