,time,event
0,16.0,"[16] [Event ID: 0] Job Sent to Scheduler {'job': [Job 2000, Workflow 8], 'from_client_id': UUID('730be90c-e30c-43fe-95ed-f5938044f043'), 'ignore_transfer_time': False}"
1,16.88,"[16.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 2000, Workflow 8]}"
2,16.88,"[16.88] [Event ID: 10] Jobs Dropped {'job_task_ids': [(2000, 0)]}"
3,26.0,"[26] [Event ID: 0] Job Sent to Scheduler {'job': [Job 0, Workflow 6], 'from_client_id': UUID('192fa2ce-3239-4bfa-90e9-cff950c7f2d1'), 'ignore_transfer_time': False}"
4,26.88,"[26.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 0, Workflow 6]}"
5,26.88,"[26.88] [Event ID: 10] Jobs Dropped {'job_task_ids': [(0, 0)]}"
6,28.0,"[28] [Event ID: 0] Job Sent to Scheduler {'job': [Job 1000, Workflow 7], 'from_client_id': UUID('94888226-aa1f-4f93-960e-9c24c4bd818c'), 'ignore_transfer_time': False}"
7,28.88,"[28.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 1000, Workflow 7]}"
8,28.88,"[28.88] [Event ID: 10] Jobs Dropped {'job_task_ids': [(1000, 0)]}"
9,43.0,"[43] [Event ID: 0] Job Sent to Scheduler {'job': [Job 2001, Workflow 8], 'from_client_id': UUID('730be90c-e30c-43fe-95ed-f5938044f043'), 'ignore_transfer_time': False}"
10,43.88,"[43.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 2001, Workflow 8]}"
11,43.88,"[43.88] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 2001, Task ID 0]], 'worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'force_instance_id': UUID('ca789b69-d8a6-469f-b67e-28114cd85f5b')}"
12,43.88,"[43.88] [Event ID: 2] Tasks Assigned to Worker {'tasks': [[Job ID 2001, Task ID 1]], 'worker_id': UUID('d081124b-05be-4de2-bc64-d42586d7610c'), 'force_instance_id': UUID('002254ae-11e8-4aa0-8d98-8fdc0d6976db')}"
13,43.88,"[43.88] [Event ID: 4] Tasks Inputs Sent to Worker {'tasks': [[Job ID 2001, Task ID 0]], 'from_worker_id': UUID('6ec7300f-8251-462e-a39e-656900c04dd0'), 'to_worker_id': UUID('8eac05d0-e228-4e33-823e-aee0c895a05e'), 'force_instance_id': UUID('ca789b69-d8a6-469f-b67e-28114cd85f5b'), 'ignore_transfer_time': False}"
