,job_id,task_id,client_id,workflow_id,model_id,executing_worker_id,arrival_at_scheduler_timestamp,last_dep_dispatch_timestamp,arrival_at_worker_timestamp,execution_start_timestamp,execution_end_timestamp,dropped_timestamp,dropped_at_task_id,curr_unfinished_jobs,curr_idle_instances,executing_worker_qlen_at_arrival
0,1000,0,16871a43-f5f0-4516-85d7-b75c85c3c54a,7,0,b951f8da-b3ac-4719-a47f-47b969247688,20.88,20.88,20.88,20.88,27.773080466845144,,,1,11,1.0
1,1000,1,16871a43-f5f0-4516-85d7-b75c85c3c54a,7,1,62478645-bd61-4d9b-86dc-ce4029e1749c,20.88,20.88,20.88,20.88,53.722412222989746,,,1,11,1.0
2,1000,2,16871a43-f5f0-4516-85d7-b75c85c3c54a,7,2,b951f8da-b3ac-4719-a47f-47b969247688,,53.722412222989746,55.32241222298975,55.32241222298975,63.161646997471166,,,1,10,1.0
3,2000,0,afff2174-26db-4d81-98b9-9108adbca99e,8,0,b951f8da-b3ac-4719-a47f-47b969247688,28.88,28.88,28.88,28.88,36.70599100663851,,,2,10,1.0
4,2000,1,afff2174-26db-4d81-98b9-9108adbca99e,8,1,f59a7685-f948-4a92-b6b0-b00aaec6a139,28.88,28.88,28.88,28.88,61.5469423428399,,,2,10,1.0
5,0,0,6b460b28-eb22-4979-a9b5-91a1f36d4f90,6,0,N/A,29.88,,,,,29.88,0.0,3,8,
6,0,1,6b460b28-eb22-4979-a9b5-91a1f36d4f90,6,1,N/A,29.88,,,,,29.88,0.0,3,8,
7,2000,2,afff2174-26db-4d81-98b9-9108adbca99e,8,2,b951f8da-b3ac-4719-a47f-47b969247688,,61.5469423428399,63.1469423428399,63.161646997471166,70.30631778128718,,,2,9,1.0
8,1001,0,16871a43-f5f0-4516-85d7-b75c85c3c54a,7,0,N/A,52.88,,,,,52.88,0.0,3,9,
9,1001,1,16871a43-f5f0-4516-85d7-b75c85c3c54a,7,1,N/A,52.88,,,,,52.88,0.0,3,9,
10,2001,0,afff2174-26db-4d81-98b9-9108adbca99e,8,0,b951f8da-b3ac-4719-a47f-47b969247688,57.88,57.88,57.88,57.88,66.06331621886854,,,3,9,1.0
11,2001,1,afff2174-26db-4d81-98b9-9108adbca99e,8,1,607360e3-6265-4e0b-8da9-3c700df1ba07,57.88,57.88,57.88,57.88,89.10081160348349,,,3,9,1.0
12,1000,3,16871a43-f5f0-4516-85d7-b75c85c3c54a,7,3,b8c191eb-8306-4c88-8290-871f4c9dcb69,,63.161646997471166,64.76164699747116,64.76164699747116,88.64177792887648,,,3,9,1.0
13,1,0,6b460b28-eb22-4979-a9b5-91a1f36d4f90,6,0,N/A,64.88,,,,,64.88,0.0,4,7,
14,1,1,6b460b28-eb22-4979-a9b5-91a1f36d4f90,6,1,N/A,64.88,,,,,64.88,0.0,4,7,
15,2001,2,afff2174-26db-4d81-98b9-9108adbca99e,8,2,b951f8da-b3ac-4719-a47f-47b969247688,,89.10081160348349,90.70081160348349,90.70081160348349,95.44615412242239,,,3,8,1.0
16,2000,3,afff2174-26db-4d81-98b9-9108adbca99e,8,3,d7ff261b-de47-4404-85c9-46c6f75e5d69,,70.30631778128718,71.90631778128717,71.90631778128717,95.7731452814851,,,3,9,1.0
17,1002,0,16871a43-f5f0-4516-85d7-b75c85c3c54a,7,0,b951f8da-b3ac-4719-a47f-47b969247688,85.88,85.88,85.88,85.88,93.1601049697091,,,4,8,1.0
18,1002,1,16871a43-f5f0-4516-85d7-b75c85c3c54a,7,1,62478645-bd61-4d9b-86dc-ce4029e1749c,85.88,85.88,85.88,85.88,117.46414815654634,,,4,8,1.0
19,1000,4,16871a43-f5f0-4516-85d7-b75c85c3c54a,7,15,45c28847-b68d-4267-bfe1-b161baa7939d,,88.64177792887648,91.04177792887648,91.04177792887648,99.78222366047032,,,4,7,1.0
20,2,0,6b460b28-eb22-4979-a9b5-91a1f36d4f90,6,0,b951f8da-b3ac-4719-a47f-47b969247688,89.88,89.88,89.88,93.1601049697091,101.16932449851372,,,5,8,1.0
21,2,1,6b460b28-eb22-4979-a9b5-91a1f36d4f90,6,1,f59a7685-f948-4a92-b6b0-b00aaec6a139,89.88,89.88,89.88,89.88,120.65039336259582,,,5,8,1.0
22,2002,0,afff2174-26db-4d81-98b9-9108adbca99e,8,0,N/A,90.88,,,,,90.88,0.0,6,6,
23,2002,1,afff2174-26db-4d81-98b9-9108adbca99e,8,1,N/A,90.88,,,,,90.88,0.0,6,6,
24,1002,2,16871a43-f5f0-4516-85d7-b75c85c3c54a,7,2,b951f8da-b3ac-4719-a47f-47b969247688,,117.46414815654634,119.06414815654634,119.06414815654634,126.58453684574218,,,5,6,1.0
25,2001,3,afff2174-26db-4d81-98b9-9108adbca99e,8,3,fa9f4288-e785-4b13-a3b7-a53182dd85e4,,95.44615412242239,97.04615412242238,97.04615412242238,123.81099731167258,,,5,6,1.0
26,2000,4,afff2174-26db-4d81-98b9-9108adbca99e,8,16,d591ed43-1cf4-437e-bcf1-6e88f7317c4b,,95.7731452814851,98.1731452814851,98.1731452814851,117.59471973694383,,,5,7,1.0
27,2,2,6b460b28-eb22-4979-a9b5-91a1f36d4f90,6,2,b951f8da-b3ac-4719-a47f-47b969247688,,120.65039336259582,122.25039336259582,126.58453684574218,135.61625044921703,,,4,7,1.0
28,1003,0,16871a43-f5f0-4516-85d7-b75c85c3c54a,7,0,b951f8da-b3ac-4719-a47f-47b969247688,115.88,115.88,115.88,115.88,122.5143805590116,,,5,7,1.0
29,1003,1,16871a43-f5f0-4516-85d7-b75c85c3c54a,7,1,607360e3-6265-4e0b-8da9-3c700df1ba07,115.88,115.88,115.88,115.88,149.72599380269764,,,5,7,1.0
30,2003,0,afff2174-26db-4d81-98b9-9108adbca99e,8,0,b951f8da-b3ac-4719-a47f-47b969247688,119.88,119.88,119.88,122.5143805590116,129.30218074261816,,,5,6,1.0
31,2003,1,afff2174-26db-4d81-98b9-9108adbca99e,8,1,62478645-bd61-4d9b-86dc-ce4029e1749c,119.88,119.88,119.88,119.88,150.38138678511388,,,5,6,1.0
32,1003,2,16871a43-f5f0-4516-85d7-b75c85c3c54a,7,2,b951f8da-b3ac-4719-a47f-47b969247688,,149.72599380269764,151.32599380269764,151.32599380269764,155.11781711307128,,,5,7,1.0
33,3,0,6b460b28-eb22-4979-a9b5-91a1f36d4f90,6,0,N/A,122.88,,,,,122.88,0.0,6,6,
34,3,1,6b460b28-eb22-4979-a9b5-91a1f36d4f90,6,1,N/A,122.88,,,,,122.88,0.0,6,6,
35,2001,4,afff2174-26db-4d81-98b9-9108adbca99e,8,16,d591ed43-1cf4-437e-bcf1-6e88f7317c4b,,123.81099731167258,126.21099731167259,126.21099731167259,143.1774474541856,,,5,7,1.0
36,1002,3,16871a43-f5f0-4516-85d7-b75c85c3c54a,7,3,b8c191eb-8306-4c88-8290-871f4c9dcb69,,126.58453684574218,128.18453684574217,128.18453684574217,153.31353504768998,,,5,7,1.0
37,2003,2,afff2174-26db-4d81-98b9-9108adbca99e,8,2,b951f8da-b3ac-4719-a47f-47b969247688,,150.38138678511388,151.98138678511387,155.11781711307128,165.26928912732254,,,5,6,1.0
38,2,3,6b460b28-eb22-4979-a9b5-91a1f36d4f90,6,3,d7ff261b-de47-4404-85c9-46c6f75e5d69,,135.61625044921703,137.21625044921703,137.21625044921703,164.96600372853783,,,5,7,1.0
39,2004,0,afff2174-26db-4d81-98b9-9108adbca99e,8,0,b951f8da-b3ac-4719-a47f-47b969247688,145.88,145.88,145.88,145.88,153.34242509414162,,,5,7,1.0
40,2004,1,afff2174-26db-4d81-98b9-9108adbca99e,8,1,f59a7685-f948-4a92-b6b0-b00aaec6a139,145.88,145.88,145.88,145.88,176.85112785472108,,,5,7,1.0
