,time,event
0,18.0,"[18] [Event ID: 0] Job Sent to Scheduler {'job': [Job 1000, Workflow 7], 'from_client_id': UUID('11a77f84-dfa7-4100-8b71-514ebe8ec507'), 'ignore_transfer_time': False}"
1,18.88,"[18.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 1000, Workflow 7]}"
2,18.88,"[18.88] [Event ID: 10] Jobs Dropped {'job_task_ids': [(1000, 0)]}"
3,23.0,"[23] [Event ID: 0] Job Sent to Scheduler {'job': [Job 0, Workflow 6], 'from_client_id': UUID('0509ffe2-eb3a-412a-b3be-d305037b8639'), 'ignore_transfer_time': False}"
4,23.88,"[23.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 0, Workflow 6]}"
5,23.88,"[23.88] [Event ID: 10] Jobs Dropped {'job_task_ids': [(0, 0)]}"
6,29.0,"[29] [Event ID: 0] Job Sent to Scheduler {'job': [Job 2000, Workflow 8], 'from_client_id': UUID('4e0e8690-9bba-47a7-b699-63c48e15a7cd'), 'ignore_transfer_time': False}"
7,29.88,"[29.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 2000, Workflow 8]}"
8,29.88,"[29.88] [Event ID: 10] Jobs Dropped {'job_task_ids': [(2000, 0)]}"
9,52.0,"[52] [Event ID: 0] Job Sent to Scheduler {'job': [Job 1, Workflow 6], 'from_client_id': UUID('0509ffe2-eb3a-412a-b3be-d305037b8639'), 'ignore_transfer_time': False}"
10,52.88,"[52.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 1, Workflow 6]}"
11,52.88,"[52.88] [Event ID: 10] Jobs Dropped {'job_task_ids': [(1, 0)]}"
12,53.0,"[53] [Event ID: 0] Job Sent to Scheduler {'job': [Job 1001, Workflow 7], 'from_client_id': UUID('11a77f84-dfa7-4100-8b71-514ebe8ec507'), 'ignore_transfer_time': False}"
13,53.88,"[53.88] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 1001, Workflow 7]}"
14,53.88,"[53.88] [Event ID: 2] Tasks Assigned to Worker {'worker_id': UUID('0680af43-2000-46a8-8e05-7ecaec02b32a'), 'tasks': [[Job ID 1001, Task ID 0]]}"
15,53.88,"[53.88] [Event ID: 2] Tasks Assigned to Worker {'worker_id': UUID('ecf4dd29-2f74-47ee-b807-eb11dd314975'), 'tasks': [[Job ID 1001, Task ID 1]]}"
16,53.88,"[53.88] [Event ID: 4] Tasks Inputs Sent to Worker {'tasks': [[Job ID 1001, Task ID 0]], 'from_worker_id': None, 'to_worker_id': UUID('0680af43-2000-46a8-8e05-7ecaec02b32a'), 'ignore_transfer_time': True}"
17,53.88,"[53.88] [Event ID: 4] Tasks Inputs Sent to Worker {'tasks': [[Job ID 1001, Task ID 1]], 'from_worker_id': None, 'to_worker_id': UUID('ecf4dd29-2f74-47ee-b807-eb11dd314975'), 'ignore_transfer_time': True}"
18,53.88,"[53.88] [Event ID: 5] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 1001, Task ID 0]], 'from_worker_id': None, 'to_worker_id': UUID('0680af43-2000-46a8-8e05-7ecaec02b32a')}"
19,53.88,"[53.88] [Event ID: 5] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 1001, Task ID 1]], 'from_worker_id': None, 'to_worker_id': UUID('ecf4dd29-2f74-47ee-b807-eb11dd314975')}"
20,53.88,"[53.88] [Event ID: 12] Check Queue for Execution at Worker {'model_id': 0, 'worker_id': UUID('0680af43-2000-46a8-8e05-7ecaec02b32a')}"
21,53.88,"[53.88] [Event ID: 12] Check Queue for Execution at Worker {'model_id': 1, 'worker_id': UUID('ecf4dd29-2f74-47ee-b807-eb11dd314975')}"
22,53.88,"[53.88] [Event ID: 13] Batch Started at Worker {'batch': [Batch 9f0d0808-4816-4aa9-a078-7681f4bed9c5 | Model ID 0] <Jobs [1001]>, 'model_instance_id': UUID('0785dea9-30c5-4b9a-a9fc-d113fd00a3cc'), 'worker_id': UUID('0680af43-2000-46a8-8e05-7ecaec02b32a')}"
23,53.88,"[53.88] [Event ID: 13] Batch Started at Worker {'batch': [Batch 779c52d9-9b0c-430c-882e-8c536eb8113c | Model ID 1] <Jobs [1001]>, 'model_instance_id': UUID('ce1dffa3-1162-4798-8cd0-be2631400aba'), 'worker_id': UUID('ecf4dd29-2f74-47ee-b807-eb11dd314975')}"
24,61.393877120496086,"[61.393877120496086] [Event ID: 11] Batch Finished at Worker {'batch': [Batch 9f0d0808-4816-4aa9-a078-7681f4bed9c5 | Model ID 0] <Jobs [1001]>, 'model_instance_id': UUID('0785dea9-30c5-4b9a-a9fc-d113fd00a3cc'), 'worker_id': UUID('0680af43-2000-46a8-8e05-7ecaec02b32a')}"
25,61.393877120496086,"[61.393877120496086] [Event ID: 2] Tasks Assigned to Worker {'worker_id': UUID('0680af43-2000-46a8-8e05-7ecaec02b32a'), 'tasks': [[Job ID 1001, Task ID 2]]}"
26,61.393877120496086,"[61.393877120496086] [Event ID: 6] Tasks Outputs Assigned to Worker {'job_task_ids': [(1001, 0)], 'from_worker_id': UUID('0680af43-2000-46a8-8e05-7ecaec02b32a'), 'to_worker_id': UUID('0680af43-2000-46a8-8e05-7ecaec02b32a')}"
27,61.393877120496086,"[61.393877120496086] [Event ID: 7] Tasks Outputs Sent to Worker {'tasks': [[Job ID 1001, Task ID 0]], 'from_worker_id': UUID('0680af43-2000-46a8-8e05-7ecaec02b32a'), 'to_worker_id': UUID('0680af43-2000-46a8-8e05-7ecaec02b32a'), 'ignore_transfer_time': False}"
