,worker_id,worker_creation_timestamp,instance_id,model_id,instance_loaded_timestamp,worker_mem_size_gb
0,ecf4dd29-2f74-47ee-b807-eb11dd314975,0,ce1dffa3-1162-4798-8cd0-be2631400aba,1,0,24
1,54f04f07-77c5-4dda-924f-ef12f7a3949a,0,4d74f815-9869-4e4a-a8d4-bb99b59cc148,1,0,24
2,686df929-5b01-4280-810c-17cedbb9e4e2,0,71a59046-c56f-48e6-ab2f-6f12265c1603,1,0,24
3,864f2188-420d-4fd1-a85a-65bada0e7893,0,149278fb-8510-4dfe-8870-861c3fba46b3,3,0,6
4,d3502b53-df0d-4a4d-bc75-3611c7b78f14,0,9e7acc0f-deb7-4d0b-8df3-c5282907ff41,3,0,6
5,e76b8a98-e72d-4161-9a4c-77987e7c02c1,0,4047784a-dc01-4870-afd9-7d7003ed7ce1,3,0,6
6,0680af43-2000-46a8-8e05-7ecaec02b32a,0,0785dea9-30c5-4b9a-a9fc-d113fd00a3cc,0,0,6
7,0680af43-2000-46a8-8e05-7ecaec02b32a,0,eba1ed7d-8f39-498b-8705-b731318f1ad2,2,0,6
8,b160620a-cbfe-40fe-9edc-837060f144bc,0,ac30d2d2-2737-4896-9e3b-5929880ea918,14,0,6
9,202fa14f-0091-4e74-b8bf-4729e8b5b953,0,9de458c4-5332-4ea2-87ff-892768beebcc,15,0,6
10,7e01139a-f980-4ca0-8c5a-c4b23671e9dd,0,e0f4c37a-aa60-46c0-9fc2-8479ec4a3a5f,16,0,6
