,job_id,client_id,load_info_staleness,placement_info_staleness,workflow_type,job_create_time,scheduler_type,slowdown,response_time
0,0,0,1,1,1,244,hashtask,0.9923161763936695,184.86850366214065
1,1,0,1,1,1,505,hashtask,1.8198131565231705,339.0311910602667
2,2,0,1,1,1,737,hashtask,1.1891275880718113,221.53446965777846
3,3,0,1,1,1,992,hashtask,1.4255232214685247,265.5749761595862
4,4,0,1,1,1,1259,hashtask,1.9389178854732456,361.2204020636657
5,5,0,1,1,1,1493,hashtask,1.3842303370459828,257.8821117916666
6,6,0,1,1,1,1734,hashtask,2.369928230129502,441.5176292731262
7,7,0,1,1,1,1981,hashtask,2.0593393752577804,383.6549256105245
8,8,0,1,1,1,2236,hashtask,1.9734913009960262,367.6614293755597
9,9,0,1,1,1,2476,hashtask,1.0762104154537497,200.49800039903357
10,10,0,1,1,1,2724,hashtask,1.4367121021096647,267.65946462303054
11,11,0,1,1,1,2959,hashtask,1.086244667832169,202.3673816171331
12,12,0,1,1,1,3213,hashtask,2.260516927537539,421.1343036002436
13,13,0,1,1,1,3468,hashtask,1.3105028720727832,244.14668506715952
14,14,0,1,1,1,3709,hashtask,1.5463997723539749,288.0942775895455
15,15,0,1,1,1,3968,hashtask,1.6781053627853393,312.6310290869087
16,16,0,1,1,1,4197,hashtask,1.5709792047079136,292.6734258370843
17,17,0,1,1,1,4435,hashtask,1.733869240146958,323.0198394393783
18,18,0,1,1,1,4676,hashtask,0.9633903513638072,179.4796224590773
19,19,0,1,1,1,4928,hashtask,3.1344314604601746,583.9445810837306
20,20,0,1,1,1,5182,hashtask,1.8531014800128207,345.2328057263885
21,21,0,1,1,1,5406,hashtask,1.1666628468777274,217.34928837332063
22,22,0,1,1,1,5618,hashtask,1.9789939448602603,368.6865719274665
23,23,0,1,1,1,5863,hashtask,0.896588477811253,167.03443341623642
24,24,0,1,1,1,6130,hashtask,1.7578646783889682,327.4901895838648
25,25,0,1,1,1,6369,hashtask,1.4316727061486891,266.7206251555008
26,26,0,1,1,1,6599,hashtask,2.5014407247730044,466.01840702521076
27,27,0,1,1,1,6862,hashtask,0.9682722035599618,180.3891115232209
28,28,0,1,1,1,7122,hashtask,1.7558333886027797,327.11176029669787
29,29,0,1,1,1,7385,hashtask,1.7990716243996532,335.1670436256554
30,30,0,1,1,1,7628,hashtask,1.3592004253411325,253.219039241053
31,31,0,1,1,1,7898,hashtask,2.2997600174771042,428.44529125598456
32,32,0,1,1,1,8140,hashtask,1.8649852370472255,347.44674966189814
33,33,0,1,1,1,8381,hashtask,0.9903935017813289,184.5103093818616
34,34,0,1,1,1,8642,hashtask,1.2913016914640605,240.56950511975447
35,35,0,1,1,1,8914,hashtask,1.3896062462804089,258.8836436820402
36,36,0,1,1,1,9142,hashtask,1.0694318993472272,199.23516284838843
37,37,0,1,1,1,9405,hashtask,1.1627555991373948,216.62136811929668
38,38,0,1,1,1,9668,hashtask,3.1193118159098097,581.1277913039976
39,39,0,1,1,1,9919,hashtask,1.3719914332007364,255.6020040052972
40,40,0,1,1,1,10160,hashtask,1.4917480941475636,277.9126699396911
41,41,0,1,1,1,10435,hashtask,4.5115870402595055,840.5086656003459
42,42,0,1,1,1,10681,hashtask,0.9240306513427511,172.14691034515454
43,43,0,1,1,1,10918,hashtask,1.262336829181674,235.17335127654587
44,44,0,1,1,1,11158,hashtask,1.5504302458103185,288.84515479446236
45,45,0,1,1,1,11437,hashtask,1.013414348989994,188.7990932168359
46,46,0,1,1,1,11693,hashtask,1.80426281457935,336.13416235613295
47,47,0,1,1,1,11958,hashtask,1.2823840510542521,238.9081487114072
48,48,0,1,1,1,12231,hashtask,1.391740895369723,259.2813288073794
49,49,0,1,1,1,12472,hashtask,2.4233278080900758,451.46597064718117
