,time,event
0,18.0,"[18] [Event ID: 0] Job Sent to Scheduler {'job': [Job 1000, Workflow 7], 'from_client_id': UUID('bc1031fb-8066-49b0-88d5-3ce487b63713'), 'ignore_transfer_time': True}"
1,18.0,"[18] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 1000, Workflow 7]}"
2,18.0,"[18] [Event ID: 2] Tasks Assigned to Worker {'worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8'), 'tasks': [[Job ID 1000, Task ID 0]]}"
3,18.0,"[18] [Event ID: 2] Tasks Assigned to Worker {'worker_id': UUID('51a452d6-4d70-498d-ae7d-17b6d391b850'), 'tasks': [[Job ID 1000, Task ID 1]]}"
4,18.0,"[18] [Event ID: 3] Tasks Inputs Sent to Worker {'tasks': [[Job ID 1000, Task ID 0]], 'from_worker_id': UUID('3fe61a40-780d-492d-a64f-c8317db22997'), 'to_worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8'), 'ignore_transfer_time': True}"
5,18.0,"[18] [Event ID: 3] Tasks Inputs Sent to Worker {'tasks': [[Job ID 1000, Task ID 1]], 'from_worker_id': UUID('3fe61a40-780d-492d-a64f-c8317db22997'), 'to_worker_id': UUID('51a452d6-4d70-498d-ae7d-17b6d391b850'), 'ignore_transfer_time': True}"
6,18.0,"[18] [Event ID: 4] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 1000, Task ID 0]], 'from_worker_id': UUID('3fe61a40-780d-492d-a64f-c8317db22997'), 'to_worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8')}"
7,18.0,"[18] [Event ID: 4] Tasks Inputs Arrival at Worker {'tasks': [[Job ID 1000, Task ID 1]], 'from_worker_id': UUID('3fe61a40-780d-492d-a64f-c8317db22997'), 'to_worker_id': UUID('51a452d6-4d70-498d-ae7d-17b6d391b850')}"
8,18.0,"[18] [Event ID: 12] Check Queue for Execution at Worker {'model_id': 0, 'worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8')}"
9,18.0,"[18] [Event ID: 12] Check Queue for Execution at Worker {'model_id': 1, 'worker_id': UUID('51a452d6-4d70-498d-ae7d-17b6d391b850')}"
10,18.0,"[18] [Event ID: 13] Batch Started at Worker {'batch': [Batch 3a81170c-7226-4bc9-900f-000ea4906353 | Model ID 0] <Jobs [1000]>, 'model_instance_id': UUID('e1db26d4-0cc8-4fdc-9639-ad042d1c3f8b'), 'worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8')}"
11,18.0,"[18] [Event ID: 13] Batch Started at Worker {'batch': [Batch 961966db-d1f5-450b-b1ab-86a1e22166bf | Model ID 1] <Jobs [1000]>, 'model_instance_id': UUID('d60f38dd-e4c6-439a-a4c2-fe1f260be72e'), 'worker_id': UUID('51a452d6-4d70-498d-ae7d-17b6d391b850')}"
12,23.0,"[23] [Event ID: 0] Job Sent to Scheduler {'job': [Job 0, Workflow 6], 'from_client_id': UUID('00e6386b-eae7-4281-b4f4-0307d83fbce3'), 'ignore_transfer_time': True}"
13,23.0,"[23] [Event ID: 1] Job Arrival at Scheduler {'job': [Job 0, Workflow 6]}"
14,23.0,"[23] [Event ID: 2] Tasks Assigned to Worker {'worker_id': UUID('1a02b7ed-f672-410c-92cd-48ad8f1561b8'), 'tasks': [[Job ID 0, Task ID 0]]}"
