,client_id,workflow_id,job_id,was_completed,deadline,create_time,response_time
0,c6694071-3db0-4860-aec0-2e99d8c3c164,6,0,True,341,29,70.29655790707147
1,c6694071-3db0-4860-aec0-2e99d8c3c164,6,1,True,376,64,68.21625993517321
2,c6694071-3db0-4860-aec0-2e99d8c3c164,6,2,True,401,89,66.79227202979604
3,c6694071-3db0-4860-aec0-2e99d8c3c164,6,3,True,434,122,66.58094538775117
4,c6694071-3db0-4860-aec0-2e99d8c3c164,6,4,True,471,159,77.76062124561139
5,c6694071-3db0-4860-aec0-2e99d8c3c164,6,5,True,496,184,82.00420565098739
6,c6694071-3db0-4860-aec0-2e99d8c3c164,6,6,True,524,212,76.81427092910741
7,c6694071-3db0-4860-aec0-2e99d8c3c164,6,7,True,554,242,87.33088053676056
8,c6694071-3db0-4860-aec0-2e99d8c3c164,6,8,True,587,275,78.89439195504087
9,c6694071-3db0-4860-aec0-2e99d8c3c164,6,9,True,615,303,76.33339368775995
10,c6694071-3db0-4860-aec0-2e99d8c3c164,6,10,True,645,333,78.11671962886004
11,c6694071-3db0-4860-aec0-2e99d8c3c164,6,11,True,671,359,77.55278048876261
12,c6694071-3db0-4860-aec0-2e99d8c3c164,6,12,True,704,392,76.30208543540027
13,c6694071-3db0-4860-aec0-2e99d8c3c164,6,13,True,737,425,80.00961428084491
14,c6694071-3db0-4860-aec0-2e99d8c3c164,6,14,True,765,453,72.19141197614067
15,c6694071-3db0-4860-aec0-2e99d8c3c164,6,15,True,799,487,96.50827311143325
16,c6694071-3db0-4860-aec0-2e99d8c3c164,6,16,True,823,511,100.37986459983324
17,c6694071-3db0-4860-aec0-2e99d8c3c164,6,17,True,850,538,80.87242198530032
18,c6694071-3db0-4860-aec0-2e99d8c3c164,6,18,True,878,566,87.53341695586573
19,c6694071-3db0-4860-aec0-2e99d8c3c164,6,19,True,910,598,79.08982660389415
20,c6694071-3db0-4860-aec0-2e99d8c3c164,6,20,True,952,640,69.92946588357233
21,c6694071-3db0-4860-aec0-2e99d8c3c164,6,21,True,974,662,73.96435835260309
22,c6694071-3db0-4860-aec0-2e99d8c3c164,6,22,True,992,680,69.54581321849241
23,c6694071-3db0-4860-aec0-2e99d8c3c164,6,23,True,1021,709,93.46327898835307
24,c6694071-3db0-4860-aec0-2e99d8c3c164,6,24,True,1058,746,82.5112818874079
25,c6694071-3db0-4860-aec0-2e99d8c3c164,6,25,True,1085,773,76.4880069563228
26,c6694071-3db0-4860-aec0-2e99d8c3c164,6,26,True,1109,797,66.66177166569241
27,c6694071-3db0-4860-aec0-2e99d8c3c164,6,27,True,1145,833,84.93161035042635
28,c6694071-3db0-4860-aec0-2e99d8c3c164,6,28,True,1180,868,77.18563482703166
29,c6694071-3db0-4860-aec0-2e99d8c3c164,6,29,True,1216,904,68.2779104942606
30,c6694071-3db0-4860-aec0-2e99d8c3c164,6,30,True,1245,933,71.20936119960163
31,c6694071-3db0-4860-aec0-2e99d8c3c164,6,31,True,1283,971,67.85673182183359
32,c6694071-3db0-4860-aec0-2e99d8c3c164,6,32,True,1311,999,69.39707176898332
33,c6694071-3db0-4860-aec0-2e99d8c3c164,6,33,True,1339,1027,78.21947488702222
34,c6694071-3db0-4860-aec0-2e99d8c3c164,6,34,True,1374,1062,74.76168017546411
35,c6694071-3db0-4860-aec0-2e99d8c3c164,6,35,True,1413,1101,70.03985322349672
36,c6694071-3db0-4860-aec0-2e99d8c3c164,6,36,True,1436,1124,74.26331345309768
37,c6694071-3db0-4860-aec0-2e99d8c3c164,6,37,True,1472,1160,78.98270306897393
38,c6694071-3db0-4860-aec0-2e99d8c3c164,6,38,True,1508,1196,71.57275223245233
39,c6694071-3db0-4860-aec0-2e99d8c3c164,6,39,True,1540,1228,66.59683774368386
40,c6694071-3db0-4860-aec0-2e99d8c3c164,6,40,True,1568,1256,62.92719062267406
41,c6694071-3db0-4860-aec0-2e99d8c3c164,6,41,True,1608,1296,74.6695121388118
42,c6694071-3db0-4860-aec0-2e99d8c3c164,6,42,True,1638,1326,86.39287630807803
43,c6694071-3db0-4860-aec0-2e99d8c3c164,6,43,True,1664,1352,68.08934733619412
44,c6694071-3db0-4860-aec0-2e99d8c3c164,6,44,True,1692,1380,87.64510105933527
