,job_id,task_id,client_id,workflow_id,model_id,executing_worker_id,arrival_at_scheduler_timestamp,last_dep_dispatch_timestamp,arrival_at_worker_timestamp,execution_start_timestamp,execution_end_timestamp,dropped_timestamp,curr_unfinished_jobs,curr_idle_instances,executing_worker_qlen_at_arrival
0,1000,0,bc5a5685-ffa8-46c6-a0d6-6ce9a4227d0a,7,0,c9aeb2f6-d09f-41bc-91c9-cae233e7d1cf,20.0,20.0,20.0,20.0,26.72929228457489,,1,11,1.0
1,1000,1,bc5a5685-ffa8-46c6-a0d6-6ce9a4227d0a,7,1,3bf46a06-9db1-4a9f-a8e4-01394511d6fc,20.0,20.0,20.0,20.0,49.11899514336339,,1,11,1.0
2,2000,0,b7019efb-a1bb-4af6-a21f-3b3c1e75431f,8,0,c9aeb2f6-d09f-41bc-91c9-cae233e7d1cf,28.0,28.0,28.0,28.0,35.930813980695866,,2,10,1.0
3,2000,1,b7019efb-a1bb-4af6-a21f-3b3c1e75431f,8,1,fd11a415-386d-4f22-8759-51eec2d45bf3,28.0,28.0,28.0,28.0,59.14418099183284,,2,10,1.0
4,0,0,1ca6c362-7f8f-4a42-9e24-29dae46c9bb6,6,0,c9aeb2f6-d09f-41bc-91c9-cae233e7d1cf,29.0,29.0,29.0,35.930813980695866,43.812723696462825,,3,8,1.0
5,0,1,1ca6c362-7f8f-4a42-9e24-29dae46c9bb6,6,1,0280db41-9d2d-4fb8-92f9-acf102eab125,29.0,29.0,29.0,29.0,61.46630443931215,,3,8,1.0
6,1000,2,bc5a5685-ffa8-46c6-a0d6-6ce9a4227d0a,7,2,c9aeb2f6-d09f-41bc-91c9-cae233e7d1cf,49.11899514336339,49.11899514336339,49.11899514336339,49.11899514336339,63.234907975060125,,3,9,1.0
7,1001,0,bc5a5685-ffa8-46c6-a0d6-6ce9a4227d0a,7,0,c9aeb2f6-d09f-41bc-91c9-cae233e7d1cf,52.0,52.0,52.0,52.0,60.128128140008684,,4,8,1.0
8,1001,1,bc5a5685-ffa8-46c6-a0d6-6ce9a4227d0a,7,1,3bf46a06-9db1-4a9f-a8e4-01394511d6fc,52.0,52.0,52.0,52.0,83.24947414832948,,4,8,1.0
9,2001,0,b7019efb-a1bb-4af6-a21f-3b3c1e75431f,8,0,c9aeb2f6-d09f-41bc-91c9-cae233e7d1cf,57.0,57.0,57.0,60.128128140008684,68.31144435887722,,5,6,1.0
