,job_id,task_id,client_id,workflow_id,model_id,executing_worker_id,arrival_at_scheduler_timestamp,last_dep_dispatch_timestamp,arrival_at_worker_timestamp,execution_start_timestamp,execution_end_timestamp,dropped_timestamp,curr_unfinished_jobs,curr_idle_instances,executing_worker_qlen_at_arrival
0,2000,0,4814bd74-db90-4e8a-ab7a-79d42c618035,10,16,2927adab-7828-4f78-8d19-50c513f3d54e,16.0,16.0,16.0,16.0,36.38474516570379,,1,11,1.0
1,0,0,769a2141-a3a1-4252-920a-c08cdffd67bf,6,0,44f053bb-5311-4901-9b08-0e879735d4fe,26.0,26.0,26.0,26.0,32.994113618875815,,2,10,1.0
2,0,1,769a2141-a3a1-4252-920a-c08cdffd67bf,6,1,e9bd66ef-f2c4-4fb4-9243-8721bd0da40f,26.0,26.0,26.0,26.0,58.66041191665094,,2,10,1.0
3,1000,0,0fcaf4ae-7b46-45e5-aa2f-b15f4759e4dc,9,15,c2335382-f5a3-4716-b0f9-d1bc44ec98d2,28.0,28.0,28.0,28.0,38.52115433410134,,3,8,1.0
4,2000,1,4814bd74-db90-4e8a-ab7a-79d42c618035,10,0,44f053bb-5311-4901-9b08-0e879735d4fe,36.38474516570379,36.38474516570379,36.38474516570379,36.38474516570379,43.28048869849194,,3,9,1.0
5,2000,2,4814bd74-db90-4e8a-ab7a-79d42c618035,10,1,fbd6c534-9e1c-40ed-927d-5fd475cfe0a1,36.38474516570379,36.38474516570379,36.38474516570379,36.38474516570379,68.19909714368958,,3,9,1.0
6,1000,1,0fcaf4ae-7b46-45e5-aa2f-b15f4759e4dc,9,0,44f053bb-5311-4901-9b08-0e879735d4fe,38.52115433410134,38.52115433410134,38.52115433410134,43.28048869849194,50.62537272372555,,3,8,1.0
7,1000,2,0fcaf4ae-7b46-45e5-aa2f-b15f4759e4dc,9,1,565d0b83-0df5-475e-9055-7cf4991abdab,38.52115433410134,38.52115433410134,38.52115433410134,38.52115433410134,69.63335350305312,,3,8,1.0
8,2001,0,4814bd74-db90-4e8a-ab7a-79d42c618035,10,16,2927adab-7828-4f78-8d19-50c513f3d54e,43.0,43.0,43.0,43.0,62.42438426765234,,4,7,1.0
9,1001,0,0fcaf4ae-7b46-45e5-aa2f-b15f4759e4dc,9,15,c2335382-f5a3-4716-b0f9-d1bc44ec98d2,49.0,49.0,49.0,49.0,58.95518764429743,,5,6,1.0
10,1,0,769a2141-a3a1-4252-920a-c08cdffd67bf,6,0,44f053bb-5311-4901-9b08-0e879735d4fe,58.0,58.0,58.0,58.0,65.15802197138268,,6,6,1.0
11,1,1,769a2141-a3a1-4252-920a-c08cdffd67bf,6,1,e9bd66ef-f2c4-4fb4-9243-8721bd0da40f,58.0,58.0,58.0,58.66041191665094,88.2016366503436,,6,6,1.0
12,0,2,769a2141-a3a1-4252-920a-c08cdffd67bf,6,2,44f053bb-5311-4901-9b08-0e879735d4fe,58.66041191665094,58.66041191665094,58.66041191665094,58.66041191665094,64.38577220828773,,6,6,1.0
13,1001,1,0fcaf4ae-7b46-45e5-aa2f-b15f4759e4dc,9,0,44f053bb-5311-4901-9b08-0e879735d4fe,58.95518764429743,58.95518764429743,58.95518764429743,65.15802197138268,73.52691687567892,,6,5,1.0
14,1001,2,0fcaf4ae-7b46-45e5-aa2f-b15f4759e4dc,9,1,fbd6c534-9e1c-40ed-927d-5fd475cfe0a1,58.95518764429743,58.95518764429743,58.95518764429743,68.19909714368958,98.97208392298623,,6,5,1.0
15,2001,1,4814bd74-db90-4e8a-ab7a-79d42c618035,10,0,44f053bb-5311-4901-9b08-0e879735d4fe,62.42438426765234,62.42438426765234,62.42438426765234,65.15802197138268,73.52691687567892,,6,6,2.0
